Index;Time point [ms];Iteration length [ms];Cost
0;5;5;1.3002975661553083E7
1;5;0;1.3002975661553083E7
2;8;3;1.3002975661553083E7
3;8;0;1.3002975661553083E7
4;11;3;1.3001929369153492E7
5;15;4;1.3001929369153492E7
6;20;5;1.3001821951479226E7
7;21;1;1.3001816217948224E7
8;22;1;1.3001811007129787E7
9;23;1;1.3001811007129787E7
10;25;2;1.3001811007129787E7
11;27;2;1.3001811007129787E7
12;31;4;1.3001811007129787E7
13;31;0;1.3001811007129787E7
14;33;2;1.3001811007129787E7
15;37;4;1.3001811007129787E7
16;42;5;1.3001811007129787E7
17;45;3;1.3001811007129787E7
18;47;2;1.3001781273778189E7
19;50;3;1.3001781273778189E7
20;54;4;1.200161807186998E7
21;58;4;1.2001548022152841E7
22;59;1;1.2001529879247207E7
23;63;4;1.2001529879247207E7
24;65;2;1.2001529879247207E7
25;68;3;1.2001529879247207E7
26;70;2;1.2001529879247207E7
27;74;4;1.2001529879247207E7
28;74;0;1.2001529879247207E7
29;76;2;1.2001529879247207E7
30;77;1;1.2001529879247207E7
31;80;3;1.2001529879247207E7
32;84;4;1.2001529879247207E7
33;86;2;1.2001529879247207E7
34;88;2;1.2001529879247207E7
35;89;1;1.2001529879247207E7
36;92;3;1.2001529879247207E7
37;95;3;1.2001529879247207E7
38;97;2;1.2001529879247207E7
39;100;3;1.2001529879247207E7
40;103;3;1.2001529879247207E7
41;103;0;1.2001529879247207E7
42;106;3;1.2001529879247207E7
43;108;2;1.2001529879247207E7
44;111;3;1.2001529879247207E7
45;113;2;1.2001529879247207E7
46;115;2;1.2001529879247207E7
47;117;2;1.2001529879247207E7
48;120;3;1.2001529879247207E7
49;123;3;1.2001529879247207E7
50;126;3;1.2001529879247207E7
51;129;3;1.2001529879247207E7
52;131;2;1.2001529879247207E7
53;135;4;1.2001529879247207E7
54;137;2;1.2001529879247207E7
55;140;3;1.2001529879247207E7
56;141;1;1.2001529879247207E7
57;143;2;1.2001529879247207E7
58;146;3;1.2001529879247207E7
59;149;3;1.2001529879247207E7
60;151;2;1.2001529879247207E7
61;154;3;1.2001529879247207E7
62;158;4;1.2001529879247207E7
63;161;3;1.2001529879247207E7
64;164;3;1.2001529879247207E7
65;167;3;1.2001529879247207E7
66;169;2;1.2001529879247207E7
67;172;3;1.2001529879247207E7
68;174;2;1.2001529879247207E7
69;177;3;1.2001529879247207E7
70;180;3;1.2001529879247207E7
71;183;3;1.2001529879247207E7
72;184;1;1.2001529879247207E7
73;188;4;1.2001529879247207E7
74;191;3;1.200152190459688E7
75;194;3;1.200151790416136E7
76;195;1;1.200151790416136E7
77;199;4;1.200151790416136E7
78;202;3;1.200151790416136E7
79;204;2;1.200151790416136E7
80;206;2;1.200151790416136E7
81;208;2;1.200151790416136E7
82;209;1;1.200151790416136E7
83;212;3;1.200151790416136E7
84;216;4;1.200151790416136E7
85;218;2;1.200151790416136E7
86;222;4;1.200151790416136E7
87;226;4;1.200151790416136E7
88;229;3;1.200151790416136E7
89;232;3;1.200151790416136E7
90;235;3;1.200151790416136E7
91;239;4;1.2001456244663509E7
92;243;4;1.2001456244663509E7
93;245;2;1.2001456244663509E7
94;252;7;1.2001456244663509E7
95;256;4;1.2001456244663509E7
96;261;5;1.2001456244663509E7
97;262;1;1.2001456244663509E7
98;267;5;1.2001456244663509E7
99;271;4;1.2001456244663509E7
100;274;3;1.2001456244663509E7
101;276;2;1.2001456244663509E7
102;277;1;1.2001456244663509E7
103;278;1;1.2001456244663509E7
104;280;2;1.2001456244663509E7
105;281;1;1.2001456244663509E7
106;284;3;1.2001456244663509E7
107;287;3;1.2001456244663509E7
108;289;2;1.2001456244663509E7
109;291;2;1.2001456244663509E7
110;295;4;1.2001456244663509E7
111;298;3;1.2001456244663509E7
112;300;2;1.2001456244663509E7
113;304;4;1.2001456244663509E7
114;306;2;1.2001456244663509E7
115;306;0;1.2001456244663509E7
116;309;3;1.2001456244663509E7
117;311;2;1.2001456244663509E7
118;313;2;1.2001456244663509E7
119;313;0;1.2001456244663509E7
120;316;3;1.2001456244663509E7
121;319;3;1.2001456244663509E7
122;321;2;1.2001456244663509E7
123;324;3;1.2001378887700956E7
124;327;3;1.2001378887700956E7
125;330;3;1.2001378887700956E7
126;332;2;1.2001378887700956E7
127;334;2;1.2001378887700956E7
128;338;4;1.2001378887700956E7
129;340;2;1.2001378887700956E7
130;343;3;1.2001378887700956E7
131;347;4;1.2001378887700956E7
132;347;0;1.2001378887700956E7
133;351;4;1.2001378887700956E7
134;354;3;1.2001378887700956E7
135;359;5;1.2001378887700956E7
136;363;4;1.2001378887700956E7
137;368;5;1.2001378887700956E7
138;371;3;1.2001378887700956E7
139;374;3;1.2001378887700956E7
140;378;4;1.2001378887700956E7
141;381;3;1.2001378887700956E7
142;384;3;1.2001378887700956E7
143;385;1;1.2001378887700956E7
144;390;5;1.2001378887700956E7
145;390;0;1.2001378887700956E7
146;394;4;1.2001378887700956E7
147;396;2;1.2001378887700956E7
148;400;4;1.2001378887700956E7
149;402;2;1.2001378887700956E7
150;405;3;1.2001378887700956E7
151;406;1;1.2001378887700956E7
152;409;3;1.2001378887700956E7
153;410;1;1.2001378887700956E7
154;412;2;1.1001175664335184E7
155;415;3;1.1001099832678454E7
156;418;3;1.1001099832678454E7
157;421;3;1.1001099832678454E7
158;422;1;1.1001099832678454E7
159;425;3;1.1001099832678454E7
160;428;3;1.1001099832678454E7
161;430;2;1.1001099832678454E7
162;433;3;1.1001099832678454E7
163;435;2;1.1001099832678454E7
164;437;2;1.1001099832678454E7
165;440;3;1.1001099832678454E7
166;442;2;1.1001099832678454E7
167;446;4;1.1001099832678454E7
168;448;2;1.1001099832678454E7
169;449;1;1.1001099832678454E7
170;453;4;1.1001099832678454E7
171;456;3;1.1001099832678454E7
172;459;3;1.1001099832678454E7
173;459;0;1.1001099832678454E7
174;461;2;1.1001099832678454E7
175;464;3;1.1001099832678454E7
176;466;2;1.1001099832678454E7
177;467;1;1.1001099832678454E7
178;468;1;1.1001099832678454E7
179;471;3;1.1001099832678454E7
180;474;3;1.1001099832678454E7
181;474;0;1.1001099832678454E7
182;477;3;1.1001099832678454E7
183;480;3;1.1001099832678454E7
184;482;2;1.1001099832678454E7
185;483;1;1.1001099832678454E7
186;485;2;1.1001099832678454E7
187;488;3;1.1001099832678454E7
188;490;2;1.1001099832678454E7
189;493;3;1.1001099832678454E7
190;496;3;1.1001099832678454E7
191;498;2;1.1001099832678454E7
192;500;2;1.1001099832678454E7
193;503;3;1.1001099832678454E7
194;506;3;1.1001099832678454E7
195;510;4;1.1001099832678454E7
196;514;4;1.1001099832678454E7
197;517;3;1.1001099832678454E7
198;519;2;1.1001099832678454E7
199;523;4;1.1001099832678454E7
200;523;0;1.1001099832678454E7
201;526;3;1.1001099832678454E7
202;528;2;1.1001099832678454E7
203;532;4;1.1001099832678454E7
204;534;2;1.1001099832678454E7
205;536;2;1.1001099832678454E7
206;539;3;1.1001099832678454E7
207;541;2;1.1001099832678454E7
208;544;3;1.1001099832678454E7
209;545;1;1.1001099832678454E7
210;548;3;1.1001099832678454E7
211;550;2;1.1001099832678454E7
212;552;2;1.1001099832678454E7
213;555;3;1.1001099832678454E7
214;557;2;1.1001099832678454E7
215;559;2;1.1001099832678454E7
216;562;3;1.1001099832678454E7
217;562;0;1.1001099832678454E7
218;566;4;1.1001099832678454E7
219;569;3;1.1001099832678454E7
220;572;3;1.1001099832678454E7
221;575;3;1.1001099832678454E7
222;576;1;1.1001099832678454E7
223;580;4;1.1001099832678454E7
224;583;3;1.1001099832678454E7
225;585;2;1.1001099832678454E7
226;588;3;1.1001099832678454E7
227;591;3;1.1001099832678454E7
228;593;2;1.1001099832678454E7
229;596;3;1.1001099832678454E7
230;599;3;1.1001099832678454E7
231;602;3;1.1001099832678454E7
232;602;0;1.1001099832678454E7
233;604;2;1.1001099832678454E7
234;606;2;1.1001099832678454E7
235;609;3;1.1001099832678454E7
236;611;2;1.1001099832678454E7
237;614;3;1.1001099832678454E7
238;615;1;1.1001099832678454E7
239;618;3;1.1001099832678454E7
240;622;4;1.1001099832678454E7
241;624;2;1.1001099832678454E7
242;628;4;1.1001099832678454E7
243;629;1;1.1001099832678454E7
244;631;2;1.1001099832678454E7
245;633;2;1.1001099832678454E7
246;634;1;1.1001099832678454E7
247;637;3;1.1001099832678454E7
248;638;1;1.1001099832678454E7
249;642;4;1.1001099832678454E7
250;642;0;1.1001099832678454E7
251;645;3;1.1001099832678454E7
252;646;1;1.1001099832678454E7
253;648;2;1.1001099832678454E7
254;649;1;1.1001099832678454E7
255;652;3;1.1001099832678454E7
256;655;3;1.1001099832678454E7
257;658;3;1.1001099832678454E7
258;660;2;1.1001099832678454E7
259;661;1;1.1001099832678454E7
260;662;1;1.1001099832678454E7
261;664;2;1.1001099832678454E7
262;668;4;1.1001099832678454E7
263;672;4;1.1001099832678454E7
264;673;1;1.1001099832678454E7
265;675;2;1.1001099832678454E7
266;678;3;1.1001099832678454E7
267;680;2;1.1001099832678454E7
268;684;4;1.1001099832678454E7
269;687;3;1.1001099832678454E7
270;689;2;1.1001099832678454E7
271;692;3;1.1001099832678454E7
272;694;2;1.1001099832678454E7
273;695;1;1.1001099832678454E7
274;697;2;1.1001099832678454E7
275;700;3;1.1001099832678454E7
276;701;1;1.1001099832678454E7
277;702;1;1.1001099832678454E7
278;703;1;1.1001099832678454E7
279;706;3;1.1001099832678454E7
280;708;2;1.1001099832678454E7
281;708;0;1.1001099832678454E7
282;712;4;1.1001099832678454E7
283;714;2;1.1001099832678454E7
284;718;4;1.1001099832678454E7
285;718;0;1.1001099832678454E7
286;722;4;1.1001099832678454E7
287;724;2;1.1001099832678454E7
288;726;2;1.1001099832678454E7
289;728;2;1.1001099832678454E7
290;728;0;1.1001099832678454E7
291;731;3;1.1001099832678454E7
292;734;3;1.1001099832678454E7
293;735;1;1.1001099832678454E7
294;738;3;1.1001099832678454E7
295;740;2;1.1001099832678454E7
296;743;3;1.1001099832678454E7
297;745;2;1.1001099832678454E7
298;747;2;1.1001099832678454E7
299;748;1;1.1001099832678454E7
300;750;2;1.1001099832678454E7
301;753;3;1.1001099832678454E7
302;756;3;1.1001099832678454E7
303;758;2;1.1001099832678454E7
304;761;3;1.1001099832678454E7
305;762;1;1.1001099832678454E7
306;765;3;1.1001099832678454E7
307;767;2;1.1001099832678454E7
308;770;3;1.1001099832678454E7
309;772;2;1.1001099832678454E7
310;775;3;1.1001099832678454E7
311;777;2;1.1001099832678454E7
312;779;2;1.1001099832678454E7
313;780;1;1.1001099832678454E7
314;781;1;1.1001099832678454E7
315;783;2;1.1001099832678454E7
316;784;1;1.1001099832678454E7
317;786;2;1.1001099832678454E7
318;789;3;1.1001099832678454E7
319;792;3;1.1001099832678454E7
320;796;4;1.1001099832678454E7
321;797;1;1.1001099832678454E7
322;800;3;1.1001099832678454E7
323;801;1;1.1001099832678454E7
324;805;4;1.1001099832678454E7
325;807;2;1.1001099832678454E7
326;809;2;1.1001099832678454E7
327;812;3;1.1001099832678454E7
328;815;3;1.1001099832678454E7
329;815;0;1.1001099832678454E7
330;818;3;1.1001099832678454E7
331;819;1;1.1001099832678454E7
332;821;2;1.1001099832678454E7
333;824;3;1.1001099832678454E7
334;827;3;1.1001099832678454E7
335;827;0;1.1001099832678454E7
336;829;2;1.1001099832678454E7
337;833;4;1.1001099832678454E7
338;834;1;1.1001099832678454E7
339;837;3;1.1001099832678454E7
340;839;2;1.1001099832678454E7
341;842;3;1.1001099832678454E7
342;844;2;1.1001099832678454E7
343;846;2;1.1001099832678454E7
344;847;1;1.1001099832678454E7
345;850;3;1.1001099832678454E7
346;852;2;1.1001099832678454E7
347;855;3;1.1001099832678454E7
348;858;3;1.1001099832678454E7
349;860;2;1.1001099832678454E7
350;864;4;1.1001099832678454E7
351;866;2;1.1001099832678454E7
352;868;2;1.1001099832678454E7
353;870;2;1.1001099832678454E7
354;872;2;1.1001099832678454E7
355;875;3;1.1001099832678454E7
356;877;2;1.1001099832678454E7
357;878;1;1.1001099832678454E7
358;880;2;1.1001099832678454E7
359;883;3;1.1001099832678454E7
