Index;Time point [ms];Iteration length [ms];Cost
0;9;9;4002174.1036451273
1;13;4;4002174.1036451273
2;20;7;4001900.707653924
3;20;0;4001898.068547992
4;25;5;4001898.068547992
5;26;1;4001898.068547992
6;32;6;4001898.068547992
7;32;0;4001898.068547992
8;38;6;4001831.8922134126
9;42;4;4001720.7899028175
10;49;7;4001720.7899028175
11;56;7;4001720.7899028175
12;63;7;4001720.7899028175
13;66;3;4001720.7899028175
14;69;3;4001720.7899028175
15;72;3;4001720.7899028175
16;78;6;4001720.7899028175
17;84;6;4001720.7899028175
18;89;5;4001720.7899028175
19;93;4;4001720.7899028175
20;97;4;4001720.7899028175
21;104;7;4001720.7899028175
22;107;3;4001720.7899028175
23;112;5;4001720.7899028175
24;116;4;4001720.7899028175
25;121;5;4001720.7899028175
26;127;6;4001720.7899028175
27;131;4;4001720.7899028175
28;132;1;4001720.7899028175
29;133;1;4001720.7899028175
30;137;4;4001578.982825758
31;141;4;4001564.4720136505
32;148;7;4001527.0327728665
33;152;4;4001527.0327728665
34;157;5;4001515.5816747337
35;164;7;4001515.5816747337
36;167;3;4001515.5816747337
37;173;6;4001515.5816747337
38;176;3;4001515.5816747337
39;179;3;4001515.5816747337
40;183;4;4001515.5816747337
41;184;1;4001515.5816747337
42;190;6;4001515.5816747337
43;197;7;4001413.230692714
44;205;8;4001413.230692714
45;211;6;4001413.230692714
46;217;6;4001413.230692714
47;224;7;4001413.230692714
48;225;1;4001413.230692714
49;230;5;4001413.230692714
50;240;10;4001413.230692714
51;240;0;4001413.230692714
52;243;3;4001413.230692714
53;248;5;4001413.230692714
54;253;5;4001413.230692714
55;260;7;4001413.230692714
56;266;6;4001413.230692714
57;273;7;4001413.230692714
58;273;0;4001413.230692714
59;279;6;4001413.230692714
60;283;4;4001413.230692714
61;287;4;4001413.230692714
62;292;5;4001413.230692714
63;298;6;4001413.230692714
64;298;0;4001413.230692714
65;302;4;4001413.230692714
66;306;4;4001413.230692714
67;310;4;4001365.622541916
68;316;6;4001317.847136325
69;322;6;4001317.847136325
70;328;6;4001317.847136325
71;333;5;4001317.847136325
72;333;0;4001317.847136325
73;339;6;4001317.847136325
74;339;0;4001317.847136325
75;344;5;4001317.847136325
76;349;5;4001317.847136325
77;354;5;4001317.847136325
78;356;2;4001317.847136325
79;360;4;4001317.847136325
80;364;4;4001317.847136325
81;369;5;4001317.847136325
82;370;1;4001317.847136325
83;372;2;4001317.847136325
84;372;0;4001317.847136325
85;376;4;4001317.847136325
86;382;6;4001317.847136325
87;388;6;4001317.847136325
88;393;5;4001317.847136325
89;399;6;4001317.847136325
90;405;6;4001317.847136325
91;409;4;4001317.847136325
92;413;4;4001317.847136325
93;420;7;4001317.847136325
94;423;3;4001317.847136325
95;428;5;4001317.847136325
96;433;5;4001317.847136325
97;434;1;4001317.847136325
98;438;4;4001317.847136325
99;441;3;4001317.847136325
100;447;6;4001317.847136325
101;452;5;4001253.0948499693
102;457;5;4001183.9601458786
103;463;6;4001183.9601458786
104;470;7;4001183.9601458786
105;473;3;4001183.9601458786
106;479;6;4001183.9601458786
107;483;4;4001183.9601458786
108;487;4;4001183.9601458786
109;492;5;4001183.9601458786
110;498;6;4001183.9601458786
111;499;1;4001183.9601458786
112;506;7;4001183.9601458786
113;510;4;4001183.9601458786
114;513;3;4001183.9601458786
115;516;3;4001183.9601458786
116;521;5;4001183.9601458786
117;529;8;4001183.9601458786
118;537;8;4001183.9601458786
119;544;7;4001183.9601458786
120;550;6;4001183.9601458786
121;554;4;4001183.9601458786
122;561;7;4001183.9601458786
123;566;5;4001183.9601458786
124;572;6;4001183.9601458786
125;576;4;4001183.9601458786
126;580;4;4001183.9601458786
