Index;Time point [ms];Iteration length [ms];Cost
0;5;5;2.500235916515048E7
1;8;3;2.5002222222144365E7
2;12;4;2.300213449262461E7
3;13;1;2.300207874721559E7
4;15;2;2.300206525106681E7
5;18;3;2.300206525106681E7
6;21;3;2.300206525106681E7
7;24;3;2.300206525106681E7
8;27;3;2.3002027184684753E7
9;30;3;2.3002021913394276E7
10;32;2;2.3001955577026956E7
11;35;3;2.3001955577026956E7
12;37;2;2.3001955577026956E7
13;38;1;2.3001955577026956E7
14;41;3;2.3001955577026956E7
15;43;2;2.2002027074295897E7
16;46;3;2.2002027074295897E7
17;48;2;2.2002027074295897E7
18;49;1;2.2002027074295897E7
19;51;2;2.1001982589164432E7
20;54;3;2.1001982589164432E7
21;55;1;2.1001982589164432E7
22;57;2;2.1001982589164432E7
23;57;0;2.1001982589164432E7
24;60;3;2.1001982589164432E7
25;60;0;2.1001982589164432E7
26;62;2;2.1001982589164432E7
27;64;2;2.1001982589164432E7
28;67;3;2.1001982589164432E7
29;70;3;2.1001982589164432E7
30;72;2;2.1001982589164432E7
31;75;3;2.1001982589164432E7
32;77;2;2.1001982589164432E7
33;80;3;2.1001982589164432E7
34;83;3;2.1001982589164432E7
35;85;2;2.1001982589164432E7
36;87;2;2.1001982589164432E7
37;91;4;2.1001982589164432E7
38;91;0;2.1001982589164432E7
39;94;3;2.1001982589164432E7
40;97;3;2.1001982589164432E7
41;100;3;2.1001982589164432E7
42;104;4;2.1001982589164432E7
43;106;2;2.1001982589164432E7
44;108;2;2.1001943604671516E7
45;110;2;2.1001943604671516E7
46;112;2;2.1001943604671516E7
47;114;2;2.1001943604671516E7
48;116;2;2.1001943604671516E7
49;118;2;2.1001943604671516E7
50;121;3;2.1001943604671516E7
51;124;3;2.1001943604671516E7
52;126;2;2.1001943604671516E7
53;131;5;2.1001943604671516E7
54;135;4;2.1001943604671516E7
55;136;1;2.1001943604671516E7
56;138;2;2.1001943604671516E7
57;140;2;2.1001943604671516E7
58;141;1;2.1001943604671516E7
59;142;1;2.1001943604671516E7
60;142;0;2.1001943604671516E7
61;143;1;2.1001943604671516E7
62;147;4;2.1001943604671516E7
63;149;2;2.1001943604671516E7
64;152;3;2.1001943604671516E7
65;155;3;2.1001943604671516E7
66;158;3;2.1001943604671516E7
67;163;5;2.1001943604671516E7
68;166;3;2.1001943604671516E7
69;167;1;2.1001943604671516E7
70;172;5;2.1001943604671516E7
71;174;2;2.1001943604671516E7
72;178;4;2.1001943604671516E7
73;181;3;2.1001943604671516E7
74;184;3;2.1001943604671516E7
75;186;2;2.1001943604671516E7
76;188;2;2.1001943604671516E7
77;189;1;2.1001943604671516E7
78;192;3;2.1001943604671516E7
79;195;3;2.1001943604671516E7
80;198;3;2.1001943604671516E7
81;201;3;2.1001943604671516E7
82;204;3;2.1001943604671516E7
83;206;2;2.1001934880328324E7
84;209;3;2.1001934880328324E7
85;212;3;2.1001934880328324E7
86;213;1;2.1001934880328324E7
87;216;3;2.1001934880328324E7
88;220;4;2.1001934880328324E7
89;222;2;2.1001934880328324E7
90;224;2;2.1001934880328324E7
91;226;2;2.1001934880328324E7
92;230;4;2.1001934880328324E7
93;232;2;2.1001934880328324E7
94;235;3;2.1001934880328324E7
95;237;2;2.1001934880328324E7
