Index;Time point [ms];Iteration length [ms];Cost
92;477;4;4000824.156098692
93;482;5;4000824.156098692
94;488;6;4000824.156098692
95;494;6;4000824.156098692
96;495;1;4000824.156098692
97;502;7;4000824.156098692
98;508;6;4000824.156098692
99;512;4;4000824.156098692
100;516;4;4000824.156098692
101;522;6;4000824.156098692
102;530;8;4000824.156098692
103;537;7;4000824.156098692
104;542;5;4000824.156098692
105;549;7;4000824.156098692
106;559;10;4000824.156098692
107;560;1;4000824.156098692
108;566;6;4000824.156098692
109;575;9;4000824.156098692
110;580;5;4000824.156098692
111;591;11;4000824.156098692
112;595;4;4000824.156098692
113;598;3;4000824.156098692
114;609;11;4000824.156098692
115;617;8;4000824.156098692
116;626;9;4000824.156098692
117;638;12;4000824.156098692
118;647;9;4000824.156098692
119;651;4;4000824.156098692
120;658;7;4000824.156098692
121;661;3;4000824.156098692
122;666;5;4000824.156098692
123;676;10;4000824.156098692
124;686;10;4000824.156098692
125;693;7;4000824.156098692
126;696;3;4000824.156098692
127;701;5;4000824.156098692
128;708;7;4000824.156098692
129;714;6;4000824.156098692
130;718;4;4000824.156098692
131;725;7;4000824.156098692
132;734;9;4000824.156098692
133;739;5;4000824.156098692
134;744;5;4000824.156098692
135;748;4;4000824.156098692
136;752;4;4000824.156098692
137;759;7;4000824.156098692
138;764;5;4000824.156098692
139;770;6;4000824.156098692
140;774;4;4000824.156098692
141;780;6;4000824.156098692
142;795;15;4000824.156098692
143;811;16;4000824.156098692
144;822;11;4000815.506792912
145;823;1;4000815.506792912
146;835;12;4000815.506792912
147;843;8;4000815.506792912
148;844;1;4000815.506792912
149;856;12;4000815.506792912
150;857;1;4000815.506792912
151;866;9;4000815.506792912
152;875;9;4000815.506792912
153;881;6;4000815.506792912
154;886;5;4000815.506792912
155;906;20;4000815.506792912
156;912;6;4000815.506792912
157;923;11;4000815.506792912
158;934;11;4000815.506792912
159;944;10;4000815.506792912
160;945;1;4000815.506792912
161;950;5;4000815.506792912
162;954;4;4000815.506792912
163;959;5;4000815.506792912
