Index;Time point [ms];Iteration length [ms];Cost
0;17;17;4001785.893086228
1;23;6;4001777.231274729
2;29;6;4001722.9685939653
3;33;4;4001693.3911982626
4;40;7;4001618.8372512897
5;44;4;4001453.3804654884
6;48;4;4001418.9919641446
7;49;1;4001418.9919641446
8;49;0;4001418.9919641446
9;52;3;4001418.9919641446
10;58;6;4001418.9919641446
11;61;3;4001418.9919641446
12;61;0;4001418.9919641446
13;72;11;4001418.9919641446
14;79;7;4001418.9919641446
15;89;10;4001418.9919641446
16;89;0;4001418.9919641446
17;100;11;4001341.8213197375
18;102;2;4001341.8213197375
19;110;8;4001341.8213197375
20;114;4;4001341.8213197375
21;130;16;4001341.8213197375
22;137;7;4001341.8213197375
23;144;7;4001341.8213197375
24;151;7;4001341.8213197375
25;159;8;4001341.8213197375
26;160;1;4001341.8213197375
27;171;11;4001341.8213197375
28;180;9;4001341.8213197375
29;188;8;4001341.8213197375
30;191;3;4001341.8213197375
31;192;1;4001341.8213197375
32;201;9;4001341.8213197375
33;215;14;4001341.8213197375
34;225;10;4001341.8213197375
35;226;1;4001341.8213197375
36;236;10;4001341.8213197375
37;248;12;4001341.8213197375
38;250;2;4001341.8213197375
39;262;12;4001341.8213197375
40;271;9;4001341.8213197375
41;275;4;4001341.8213197375
42;283;8;4001341.8213197375
43;284;1;4001341.8213197375
44;287;3;4001341.8213197375
45;293;6;4001341.8213197375
46;298;5;4001341.8213197375
47;321;23;4001341.8213197375
48;332;11;4001341.8213197375
49;343;11;4001341.8213197375
50;350;7;4001341.8213197375
51;351;1;4001341.8213197375
52;353;2;4001341.8213197375
53;354;1;4001341.8213197375
54;362;8;4001341.8213197375
55;372;10;4001341.8213197375
56;377;5;4001341.8213197375
57;381;4;4001341.8213197375
58;382;1;4001341.8213197375
59;389;7;4001341.8213197375
60;396;7;4001341.8213197375
61;397;1;4001341.8213197375
62;401;4;4001341.8213197375
63;405;4;4001294.4784862204
64;410;5;4001294.4784862204
65;413;3;4001294.4784862204
66;420;7;4001294.4784862204
67;426;6;4001294.4784862204
68;432;6;4001294.4784862204
69;437;5;4001294.4784862204
70;446;9;4001294.4784862204
71;454;8;4001294.4784862204
72;460;6;4001294.4784862204
73;467;7;4001294.4784862204
74;474;7;4001214.994531747
75;483;9;4001214.994531747
76;490;7;4001214.994531747
77;490;0;4001214.994531747
78;494;4;4001214.994531747
79;499;5;4001214.994531747
80;505;6;4001214.994531747
81;509;4;4001214.994531747
82;514;5;4001214.994531747
83;520;6;4001214.994531747
84;524;4;4001214.994531747
85;526;2;4001214.994531747
86;529;3;4001214.994531747
87;535;6;4001214.994531747
88;535;0;4001214.994531747
89;540;5;4001214.994531747
90;541;1;4001214.994531747
91;541;0;4001214.994531747
92;546;5;4001214.994531747
93;553;7;4001214.994531747
94;558;5;4001197.8926927964
95;563;5;4001197.8926927964
96;568;5;4001197.8926927964
97;572;4;4001197.8926927964
98;574;2;4001197.8926927964
99;580;6;4001197.8926927964
100;585;5;4001197.8926927964
101;592;7;4001197.8926927964
102;593;1;4001197.8926927964
103;593;0;4001197.8926927964
104;599;6;4001127.439888348
105;605;6;4001127.439888348
106;610;5;4001127.439888348
107;614;4;4001127.439888348
108;619;5;4001127.439888348
109;622;3;4001127.439888348
110;623;1;4001127.439888348
111;627;4;4001127.439888348
112;632;5;4001127.439888348
113;634;2;4001127.439888348
114;640;6;4001127.439888348
115;643;3;4001127.439888348
116;650;7;4001127.439888348
117;654;4;4001127.439888348
118;661;7;4001127.439888348
119;669;8;4001127.439888348
120;678;9;4001127.439888348
121;687;9;4001127.439888348
122;688;1;4001127.439888348
123;689;1;4001127.439888348
124;696;7;4001127.439888348
125;707;11;4001127.439888348
126;714;7;4001127.439888348
127;716;2;4001127.439888348
128;727;11;4001127.439888348
129;732;5;4001127.439888348
130;740;8;4001127.439888348
131;744;4;4001127.439888348
132;746;2;4001127.439888348
133;747;1;4001127.439888348
134;750;3;4001127.439888348
135;753;3;4001127.439888348
136;757;4;4001127.439888348
137;758;1;4001127.439888348
138;763;5;4001127.439888348
139;766;3;4001127.439888348
140;770;4;4001127.439888348
141;776;6;4001127.439888348
142;781;5;4001127.439888348
143;785;4;4001127.439888348
144;789;4;4001127.439888348
145;790;1;4001127.439888348
146;791;1;4001127.439888348
147;793;2;4001127.439888348
148;799;6;4001127.439888348
149;803;4;4001127.439888348
150;808;5;4001127.439888348
151;811;3;4001127.439888348
152;817;6;4001127.439888348
153;819;2;4001127.439888348
154;824;5;4001127.439888348
155;825;1;4001127.439888348
156;831;6;4001127.439888348
157;836;5;4001127.439888348
158;841;5;4001127.439888348
159;843;2;4001127.439888348
160;845;2;4001127.439888348
161;850;5;4001127.439888348
162;854;4;4001127.439888348
163;862;8;4001127.439888348
164;869;7;4001127.439888348
165;869;0;4001127.439888348
166;877;8;4001127.439888348
167;886;9;4001127.439888348
168;891;5;4001127.439888348
169;896;5;4001127.439888348
170;903;7;4001127.439888348
171;908;5;4001127.439888348
172;913;5;4001127.439888348
173;919;6;4001127.439888348
174;922;3;4001127.439888348
175;927;5;4001127.439888348
176;933;6;4001127.439888348
177;938;5;4001127.439888348
178;947;9;4001127.439888348
179;949;2;4001127.439888348
180;956;7;4001127.439888348
181;962;6;4001127.439888348
182;963;1;4001127.439888348
183;971;8;4001127.439888348
184;983;12;4001127.439888348
185;993;10;4001127.439888348
186;1000;7;4001127.439888348
187;1007;7;4001127.439888348
188;1018;11;4001127.439888348
189;1019;1;4001127.439888348
190;1026;7;4001127.439888348
191;1035;9;4001127.439888348
192;1054;19;4001127.439888348
193;1065;11;4001127.439888348
194;1071;6;4001127.439888348
195;1082;11;4001127.439888348
196;1092;10;4001127.439888348
197;1100;8;4001127.439888348
198;1109;9;4001127.439888348
199;1118;9;4001127.439888348
200;1119;1;4001127.439888348
201;1126;7;4001127.439888348
202;1127;1;4001127.439888348
203;1133;6;4001127.439888348
204;1136;3;4001127.439888348
205;1144;8;4001127.439888348
206;1148;4;4001127.439888348
207;1154;6;4001127.439888348
208;1160;6;4001127.439888348
209;1167;7;4001127.439888348
210;1172;5;4001127.439888348
211;1174;2;4001127.439888348
212;1182;8;4001127.439888348
213;1192;10;4001127.439888348
214;1204;12;4001127.439888348
215;1209;5;4001127.439888348
216;1211;2;4001127.439888348
217;1217;6;4001127.439888348
218;1224;7;4001127.439888348
219;1231;7;4001127.439888348
220;1236;5;4001127.439888348
221;1239;3;4001127.439888348
222;1246;7;4001127.439888348
223;1257;11;4001127.439888348
224;1259;2;4001127.439888348
225;1265;6;4001127.439888348
226;1270;5;4001127.439888348
227;1282;12;4001127.439888348
228;1285;3;4001127.439888348
229;1291;6;4001127.439888348
230;1297;6;4001127.439888348
231;1299;2;4001127.439888348
232;1305;6;4001127.439888348
233;1309;4;4001127.439888348
234;1312;3;4001127.439888348
235;1318;6;4001127.439888348
236;1323;5;4001127.439888348
237;1328;5;4001127.439888348
238;1334;6;4001127.439888348
239;1341;7;4001127.439888348
240;1344;3;4001127.439888348
241;1351;7;4001127.439888348
242;1357;6;4001127.439888348
243;1367;10;4001127.439888348
244;1371;4;4001127.439888348
245;1373;2;4001127.439888348
246;1374;1;4001127.439888348
247;1382;8;4001127.439888348
248;1393;11;4001127.439888348
