Index;Time point [ms];Iteration length [ms];Cost
0;7;7;1.8002496174971953E7
1;11;4;1.800227854198397E7
2;13;2;1.8002163780455656E7
3;16;3;1.8001865572436918E7
4;19;3;1.800172703601398E7
5;22;3;1.6001861702846186E7
6;24;2;1.6001800355707204E7
7;24;0;1.6001800355707204E7
8;27;3;1.6001793299395217E7
9;33;6;1.5001827303870857E7
10;35;2;1.5001827303870857E7
11;38;3;1.5001827303870857E7
12;41;3;1.5001827303870857E7
13;43;2;1.400177340455607E7
14;44;1;1.400177340455607E7
15;45;1;1.400177340455607E7
16;46;1;1.400176577753127E7
17;50;4;1.400151262916008E7
18;52;2;1.400151262916008E7
19;55;3;1.400151262916008E7
20;57;2;1.400151262916008E7
21;59;2;1.400151262916008E7
22;62;3;1.400151262916008E7
23;65;3;1.400151262916008E7
24;68;3;1.400151262916008E7
25;68;0;1.400151262916008E7
26;71;3;1.400151262916008E7
27;74;3;1.400151262916008E7
28;76;2;1.400151262916008E7
29;77;1;1.400151262916008E7
30;80;3;1.400151262916008E7
31;84;4;1.400151262916008E7
32;91;7;1.400151262916008E7
33;93;2;1.400151262916008E7
34;94;1;1.400151262916008E7
35;98;4;1.400151262916008E7
36;106;8;1.400151262916008E7
37;114;8;1.400151262916008E7
38;118;4;1.400151262916008E7
39;131;13;1.400151262916008E7
40;134;3;1.400151262916008E7
41;139;5;1.400151262916008E7
42;144;5;1.400151262916008E7
43;149;5;1.400151262916008E7
44;155;6;1.400151262916008E7
45;162;7;1.400151262916008E7
46;167;5;1.400151262916008E7
47;171;4;1.400151262916008E7
48;173;2;1.400151262916008E7
49;176;3;1.400151262916008E7
50;178;2;1.400151262916008E7
51;182;4;1.400151262916008E7
52;186;4;1.400151262916008E7
53;190;4;1.400151262916008E7
54;191;1;1.400151262916008E7
55;194;3;1.400151262916008E7
56;198;4;1.400151262916008E7
57;201;3;1.400151262916008E7
58;204;3;1.400151262916008E7
59;206;2;1.400151262916008E7
60;209;3;1.400151262916008E7
61;211;2;1.400151262916008E7
62;213;2;1.400151262916008E7
63;215;2;1.400151262916008E7
64;217;2;1.400151262916008E7
65;218;1;1.400151262916008E7
66;223;5;1.400151262916008E7
67;227;4;1.400151262916008E7
68;229;2;1.400151262916008E7
69;232;3;1.400151262916008E7
70;235;3;1.400151262916008E7
71;236;1;1.400151262916008E7
72;240;4;1.400151262916008E7
73;244;4;1.400151262916008E7
74;247;3;1.400151262916008E7
75;248;1;1.400151262916008E7
76;249;1;1.400151262916008E7
77;252;3;1.400151262916008E7
78;255;3;1.400151262916008E7
79;255;0;1.400151262916008E7
80;259;4;1.400151262916008E7
81;262;3;1.400151262916008E7
82;264;2;1.400151262916008E7
83;267;3;1.400151262916008E7
84;270;3;1.400151262916008E7
85;273;3;1.400151262916008E7
86;275;2;1.400151262916008E7
87;275;0;1.400151262916008E7
88;279;4;1.400151262916008E7
89;282;3;1.400151262916008E7
90;285;3;1.400151262916008E7
91;288;3;1.400151262916008E7
92;291;3;1.400151262916008E7
93;293;2;1.400151262916008E7
94;297;4;1.400151262916008E7
95;300;3;1.400151262916008E7
96;302;2;1.400151262916008E7
97;304;2;1.400151262916008E7
98;306;2;1.400151262916008E7
99;309;3;1.400151262916008E7
100;312;3;1.400151262916008E7
101;314;2;1.400151262916008E7
102;317;3;1.400151262916008E7
103;320;3;1.400151262916008E7
104;322;2;1.400151262916008E7
105;326;4;1.400151262916008E7
106;329;3;1.400151262916008E7
107;332;3;1.400151262916008E7
108;335;3;1.400151262916008E7
