Index;Time point [ms];Iteration length [ms];Cost
0;7;7;5001804.152269139
1;12;5;5001774.827306951
2;17;5;5001774.827306951
3;21;4;5001637.769308519
4;26;5;5001637.769308519
5;30;4;5001498.88919134
6;37;7;5001498.88919134
7;41;4;5001498.88919134
8;45;4;5001498.88919134
9;48;3;5001498.88919134
10;51;3;5001498.88919134
11;54;3;5001498.88919134
12;55;1;5001498.88919134
13;63;8;4001446.499520559
14;63;0;4001446.499520559
15;68;5;4001421.7145417808
16;73;5;4001421.7145417808
17;77;4;4001421.7145417808
18;82;5;4001421.7145417808
19;86;4;4001421.7145417808
20;89;3;4001394.6136598242
21;95;6;4001394.6136598242
22;101;6;4001394.6136598242
23;107;6;4001394.6136598242
24;113;6;4001394.6136598242
25;122;9;4001394.6136598242
26;131;9;4001394.6136598242
27;137;6;4001394.6136598242
28;142;5;4001394.6136598242
29;147;5;4001394.6136598242
30;148;1;4001394.6136598242
31;153;5;4001394.6136598242
32;159;6;4001394.6136598242
33;165;6;4001394.6136598242
34;169;4;4001394.6136598242
35;173;4;4001394.6136598242
36;177;4;4001394.6136598242
37;177;0;4001394.6136598242
38;179;2;4001394.6136598242
39;184;5;4001394.6136598242
40;189;5;4001394.6136598242
41;196;7;4001394.6136598242
42;202;6;4001394.6136598242
43;206;4;4001394.6136598242
44;212;6;4001394.6136598242
45;216;4;4001394.6136598242
46;217;1;4001394.6136598242
47;224;7;4001394.6136598242
48;226;2;4001394.6136598242
49;227;1;4001394.6136598242
50;234;7;4001394.6136598242
51;240;6;4001394.6136598242
52;244;4;4001394.6136598242
53;245;1;4001394.6136598242
54;246;1;4001394.6136598242
55;250;4;4001394.6136598242
56;255;5;4001394.6136598242
57;255;0;4001394.6136598242
58;256;1;4001394.6136598242
59;261;5;4001394.6136598242
60;264;3;4001394.6136598242
61;270;6;4001394.6136598242
62;276;6;4001394.6136598242
63;280;4;4001394.6136598242
64;280;0;4001394.6136598242
65;285;5;4001394.6136598242
66;286;1;4001394.6136598242
67;295;9;4001394.6136598242
68;296;1;4001394.6136598242
69;301;5;4001394.6136598242
70;308;7;4001394.6136598242
71;311;3;4001394.6136598242
72;316;5;4001394.6136598242
73;321;5;4001385.4409038816
74;334;13;4001385.4409038816
75;339;5;4001385.4409038816
76;344;5;4001385.4409038816
77;349;5;4001385.4409038816
78;352;3;4001385.4409038816
79;357;5;4001385.4409038816
80;358;1;4001385.4409038816
81;362;4;4001385.4409038816
82;368;6;4001385.4409038816
83;373;5;4001385.4409038816
84;377;4;4001385.4409038816
85;381;4;4001385.4409038816
86;384;3;4001385.4409038816
87;390;6;4001385.4409038816
88;393;3;4001385.4409038816
89;397;4;4001385.4409038816
90;401;4;4001385.4409038816
91;406;5;4001385.4409038816
92;409;3;4001385.4409038816
93;413;4;4001385.4409038816
94;413;0;4001385.4409038816
95;420;7;4001385.4409038816
96;429;9;4001385.4409038816
97;434;5;4001385.4409038816
98;438;4;4001385.4409038816
99;442;4;4001385.4409038816
100;448;6;4001385.4409038816
101;454;6;4001385.4409038816
102;459;5;4001385.4409038816
103;465;6;4001385.4409038816
104;465;0;4001385.4409038816
105;474;9;4001385.4409038816
106;478;4;4001385.4409038816
107;483;5;4001385.4409038816
108;486;3;4001385.4409038816
109;491;5;4001385.4409038816
110;494;3;4001385.4409038816
111;498;4;4001385.4409038816
112;503;5;4001385.4409038816
