Index;Time point [ms];Iteration length [ms];Cost
0;8;8;5002515.243013408
1;13;5;5002229.473421205
2;14;1;5002101.962367268
3;17;3;5001750.406136101
4;23;6;4001678.9032872794
5;28;5;4001678.9032872794
6;32;4;4001678.9032872794
7;35;3;4001670.161665631
8;40;5;4001401.5484431963
9;43;3;4001401.5484431963
10;49;6;4001401.5484431963
11;51;2;4001401.5484431963
12;55;4;4001401.5484431963
13;62;7;4001401.5484431963
14;71;9;4001401.5484431963
15;81;10;4001230.6335786385
16;83;2;4001210.348637119
17;87;4;4001095.363955637
18;93;6;4000960.7437937357
19;98;5;4000943.219903787
20;102;4;4000802.1858515292
21;109;7;4000735.906130081
22;114;5;4000735.906130081
23;114;0;4000735.906130081
24;118;4;4000735.906130081
25;126;8;4000735.906130081
26;128;2;4000735.906130081
27;133;5;4000735.906130081
28;138;5;4000735.906130081
29;144;6;4000735.906130081
30;150;6;4000735.906130081
31;153;3;4000735.906130081
32;159;6;4000735.906130081
33;169;10;4000735.906130081
34;178;9;4000735.906130081
35;183;5;4000735.906130081
36;185;2;4000735.906130081
37;192;7;4000735.906130081
38;201;9;4000735.906130081
39;206;5;4000735.906130081
40;207;1;4000735.906130081
41;212;5;4000735.906130081
42;217;5;4000735.906130081
43;222;5;4000735.906130081
44;230;8;4000735.906130081
45;233;3;4000735.906130081
46;234;1;4000735.906130081
47;235;1;4000735.906130081
48;245;10;4000735.906130081
49;249;4;4000735.906130081
50;255;6;4000735.906130081
51;258;3;4000735.906130081
52;261;3;4000735.906130081
53;262;1;4000735.906130081
54;269;7;4000735.906130081
55;281;12;4000735.906130081
56;287;6;4000735.906130081
57;290;3;4000735.906130081
58;295;5;4000735.906130081
59;300;5;4000735.906130081
60;303;3;4000735.906130081
61;310;7;4000735.906130081
62;314;4;4000735.906130081
63;318;4;4000735.906130081
64;318;0;4000735.906130081
65;319;1;4000735.906130081
66;322;3;4000735.906130081
67;325;3;4000735.906130081
68;327;2;4000735.906130081
69;334;7;4000735.906130081
70;339;5;4000735.906130081
71;343;4;4000735.906130081
72;348;5;4000735.906130081
73;353;5;4000735.906130081
74;354;1;4000735.906130081
75;359;5;4000735.906130081
76;375;16;4000735.906130081
77;385;10;4000735.906130081
78;395;10;4000735.906130081
79;402;7;4000735.906130081
80;408;6;4000735.906130081
81;412;4;4000735.906130081
82;413;1;4000735.906130081
83;420;7;4000735.906130081
84;429;9;4000735.906130081
85;431;2;4000735.906130081
86;437;6;4000735.906130081
87;443;6;4000735.906130081
88;447;4;4000735.906130081
89;453;6;4000735.906130081
90;461;8;4000735.906130081
91;472;11;4000735.906130081
92;478;6;4000735.906130081
93;483;5;4000735.906130081
94;487;4;4000735.906130081
95;488;1;4000735.906130081
96;494;6;4000735.906130081
97;497;3;4000735.906130081
98;501;4;4000735.906130081
99;506;5;4000735.906130081
100;511;5;4000735.906130081
101;514;3;4000735.906130081
102;517;3;4000735.906130081
103;520;3;4000735.906130081
104;527;7;4000735.906130081
105;533;6;4000735.906130081
106;537;4;4000735.906130081
107;540;3;4000735.906130081
108;544;4;4000735.906130081
109;547;3;4000735.906130081
110;552;5;4000735.906130081
111;555;3;4000735.906130081
112;563;8;4000686.6842401307
113;571;8;4000680.7838271274
114;578;7;4000680.7838271274
115;582;4;4000680.7838271274
116;588;6;4000680.7838271274
117;593;5;4000680.7838271274
118;597;4;4000680.7838271274
119;601;4;4000680.7838271274
120;604;3;4000680.7838271274
121;610;6;4000680.7838271274
122;614;4;4000680.7838271274
123;616;2;4000680.7838271274
124;620;4;4000680.7838271274
125;625;5;4000680.7838271274
126;628;3;4000680.7838271274
127;631;3;4000680.7838271274
128;633;2;4000680.7838271274
129;637;4;4000680.7838271274
130;644;7;4000680.7838271274
131;649;5;4000680.7838271274
132;654;5;4000680.7838271274
133;655;1;4000680.7838271274
134;658;3;4000680.7838271274
135;662;4;4000680.7838271274
136;663;1;4000680.7838271274
137;670;7;4000680.7838271274
138;671;1;4000680.7838271274
139;680;9;4000680.7838271274
140;684;4;4000680.7838271274
141;690;6;4000680.7838271274
