Index;Time point [ms];Iteration length [ms];Cost
0;15;15;5002420.444389573
1;20;5;4002265.240961057
2;33;13;4001826.419589266
3;47;14;4001437.174322827
4;54;7;4001382.881093683
5;64;10;4001353.8171643554
6;74;10;4001329.618816756
7;82;8;4001218.361818323
8;83;1;4001217.043668313
9;88;5;4001205.8341536038
10;91;3;4001205.8341536038
11;100;9;4001205.8341536038
12;107;7;4001205.8341536038
13;114;7;4001205.8341536038
14;126;12;4001205.8341536038
15;131;5;4001205.8341536038
16;142;11;4001205.8341536038
17;151;9;4001205.8341536038
18;162;11;4001205.8341536038
19;163;1;4001205.8341536038
20;168;5;4001205.8341536038
21;172;4;4001205.8341536038
22;176;4;4001205.8341536038
23;182;6;4001205.8341536038
24;187;5;4001173.767997165
25;190;3;4001128.750475096
26;193;3;4001109.3530653715
27;197;4;4001109.3530653715
28;203;6;4001109.3530653715
29;208;5;4001109.3530653715
30;212;4;4001109.3530653715
31;216;4;4001109.3530653715
32;223;7;4001109.3530653715
33;229;6;4001109.3530653715
34;236;7;4001109.3530653715
35;239;3;4001109.3530653715
36;245;6;4001109.3530653715
37;249;4;4001109.3530653715
38;255;6;4001109.3530653715
39;260;5;4001109.3530653715
40;265;5;4001109.3530653715
41;269;4;4001109.3530653715
42;274;5;4001109.3530653715
43;279;5;4001109.3530653715
44;284;5;4001109.3530653715
45;288;4;4001109.3530653715
46;293;5;4001109.3530653715
47;297;4;4001109.3530653715
48;300;3;4001109.3530653715
49;305;5;4001109.3530653715
50;310;5;4001109.3530653715
51;313;3;4001109.3530653715
52;317;4;4001109.3530653715
53;322;5;4001109.3530653715
54;326;4;4001109.3530653715
55;329;3;4001109.3530653715
56;330;1;4001109.3530653715
57;335;5;4001109.3530653715
58;340;5;4001109.3530653715
59;341;1;4001109.3530653715
60;346;5;4001109.3530653715
61;352;6;4001075.0067882044
62;353;1;4001074.9176746
63;356;3;4001003.2885810807
64;357;1;4001003.2885810807
65;363;6;4001003.2885810807
66;369;6;4001003.2885810807
67;374;5;4001003.2885810807
68;380;6;4001003.2885810807
69;384;4;4001003.2885810807
70;389;5;4001003.2885810807
71;393;4;4001003.2885810807
72;394;1;4001003.2885810807
73;396;2;4001003.2885810807
74;402;6;4001003.2885810807
75;408;6;4001003.2885810807
76;413;5;4001003.2885810807
77;417;4;4001003.2885810807
78;422;5;4001003.2885810807
79;422;0;4001003.2885810807
80;427;5;4001003.2885810807
81;431;4;4001003.2885810807
82;437;6;4000980.7601612923
83;443;6;4000980.7601612923
84;447;4;4000980.7601612923
85;451;4;4000980.7601612923
86;457;6;4000980.7601612923
87;458;1;4000980.7601612923
88;464;6;4000966.308309616
89;464;0;4000966.308309616
90;471;7;4000955.297711527
91;477;6;4000955.297711527
92;483;6;4000955.297711527
93;486;3;4000955.297711527
94;489;3;4000955.297711527
95;494;5;4000955.297711527
96;497;3;4000955.297711527
97;503;6;4000955.297711527
98;510;7;4000955.297711527
99;510;0;4000955.297711527
100;511;1;4000955.297711527
101;517;6;4000955.297711527
102;521;4;4000955.297711527
103;529;8;4000955.297711527
104;530;1;4000955.297711527
105;533;3;4000955.297711527
106;537;4;4000955.297711527
107;543;6;4000901.8340846654
108;547;4;4000901.8340846654
109;549;2;4000901.8340846654
110;554;5;4000901.8340846654
111;559;5;4000901.8340846654
112;560;1;4000901.8340846654
113;565;5;4000901.8340846654
114;571;6;4000901.8340846654
115;576;5;4000901.8340846654
116;583;7;4000901.8340846654
117;590;7;4000901.8340846654
118;592;2;4000901.8340846654
119;594;2;4000901.8340846654
120;595;1;4000901.8340846654
121;599;4;4000901.8340846654
122;605;6;4000901.8340846654
123;608;3;4000901.8340846654
124;613;5;4000901.8340846654
125;618;5;4000901.8340846654
126;623;5;4000901.8340846654
127;623;0;4000901.8340846654
128;624;1;4000901.8340846654
129;628;4;4000901.8340846654
130;633;5;4000901.8340846654
131;639;6;4000901.8340846654
132;642;3;4000901.8340846654
133;647;5;4000901.8340846654
134;653;6;4000901.8340846654
135;658;5;4000901.8340846654
136;666;8;4000901.8340846654
137;671;5;4000901.8340846654
138;673;2;4000901.8340846654
139;680;7;4000901.8340846654
140;686;6;4000901.8340846654
141;687;1;4000901.8340846654
142;690;3;4000901.8340846654
143;690;0;4000901.8340846654
144;696;6;4000901.8340846654
145;700;4;4000901.8340846654
146;704;4;4000901.8340846654
147;709;5;4000901.8340846654
148;714;5;4000901.8340846654
149;719;5;4000901.8340846654
150;724;5;4000901.8340846654
151;729;5;4000901.8340846654
152;733;4;4000901.8340846654
153;741;8;4000901.8340846654
154;746;5;4000901.8340846654
155;751;5;4000901.8340846654
156;757;6;4000901.8340846654
157;761;4;4000901.8340846654
158;765;4;4000901.8340846654
159;765;0;4000901.8340846654
160;768;3;4000901.8340846654
161;773;5;4000901.8340846654
162;777;4;4000901.8340846654
163;777;0;4000901.8340846654
164;782;5;4000901.8340846654
165;786;4;4000901.8340846654
166;793;7;4000901.8340846654
167;798;5;4000901.8340846654
168;799;1;4000901.8340846654
169;804;5;4000901.8340846654
170;809;5;4000901.8340846654
171;810;1;4000901.8340846654
172;816;6;4000901.8340846654
173;822;6;4000901.8340846654
174;826;4;4000901.8340846654
175;829;3;4000901.8340846654
176;833;4;4000901.8340846654
177;836;3;4000901.8340846654
178;837;1;4000901.8340846654
179;837;0;4000901.8340846654
180;842;5;4000901.8340846654
181;848;6;4000857.73943036
182;853;5;4000857.73943036
183;857;4;4000857.73943036
184;862;5;4000857.73943036
185;867;5;4000857.73943036
186;873;6;4000857.73943036
187;876;3;4000857.73943036
188;880;4;4000857.73943036
189;882;2;4000857.73943036
190;887;5;4000857.73943036
191;893;6;4000857.73943036
192;898;5;4000857.73943036
193;898;0;4000857.73943036
194;899;1;4000857.73943036
195;903;4;4000857.73943036
196;908;5;4000857.73943036
197;909;1;4000857.73943036
198;910;1;4000857.73943036
199;913;3;4000857.73943036
200;920;7;4000857.73943036
201;921;1;4000857.73943036
202;924;3;4000857.73943036
203;928;4;4000857.73943036
204;933;5;4000857.73943036
205;934;1;4000857.73943036
206;939;5;4000857.73943036
207;943;4;4000857.73943036
208;949;6;4000857.73943036
209;954;5;4000857.73943036
210;955;1;4000857.73943036
211;958;3;4000857.73943036
212;959;1;4000857.73943036
213;964;5;4000857.73943036
214;969;5;4000857.73943036
215;974;5;4000857.73943036
216;976;2;4000857.73943036
217;978;2;4000857.73943036
218;984;6;4000857.73943036
219;988;4;4000857.73943036
220;992;4;4000857.73943036
221;998;6;4000857.73943036
222;1004;6;4000857.73943036
223;1009;5;4000857.73943036
224;1013;4;4000857.73943036
225;1021;8;4000857.73943036
226;1026;5;4000857.73943036
227;1030;4;4000857.73943036
228;1034;4;4000857.73943036
229;1041;7;4000857.73943036
230;1045;4;4000857.73943036
231;1050;5;4000857.73943036
232;1057;7;4000857.73943036
233;1058;1;4000857.73943036
234;1061;3;4000857.73943036
235;1064;3;4000857.73943036
236;1070;6;4000857.73943036
237;1071;1;4000857.73943036
238;1074;3;4000857.73943036
239;1078;4;4000857.73943036
240;1082;4;4000857.73943036
241;1086;4;4000857.73943036
242;1086;0;4000857.73943036
243;1090;4;4000857.73943036
244;1096;6;4000857.73943036
245;1099;3;4000857.73943036
246;1102;3;4000857.73943036
247;1103;1;4000857.73943036
248;1103;0;4000857.73943036
249;1106;3;4000857.73943036
250;1109;3;4000857.73943036
251;1114;5;4000857.73943036
252;1118;4;4000857.73943036
253;1121;3;4000857.73943036
254;1126;5;4000857.73943036
255;1131;5;4000857.73943036
256;1137;6;4000857.73943036
257;1139;2;4000857.73943036
258;1144;5;4000857.73943036
259;1148;4;4000857.73943036
260;1154;6;4000857.73943036
261;1157;3;4000857.73943036
262;1162;5;4000857.73943036
263;1167;5;4000857.73943036
264;1168;1;4000857.73943036
265;1173;5;4000857.73943036
266;1179;6;4000857.73943036
267;1183;4;4000857.73943036
268;1189;6;4000857.73943036
269;1189;0;4000857.73943036
270;1192;3;4000857.73943036
271;1196;4;4000857.73943036
272;1202;6;4000857.73943036
273;1205;3;4000857.73943036
274;1209;4;4000857.73943036
275;1212;3;4000857.73943036
276;1213;1;4000857.73943036
277;1215;2;4000857.73943036
278;1221;6;4000857.73943036
279;1226;5;4000857.73943036
280;1231;5;4000857.73943036
281;1235;4;4000857.73943036
282;1237;2;4000857.73943036
283;1241;4;4000857.73943036
284;1241;0;4000857.73943036
285;1248;7;4000857.73943036
286;1253;5;4000857.73943036
287;1257;4;4000857.73943036
288;1263;6;4000857.73943036
289;1266;3;4000857.73943036
290;1272;6;4000857.73943036
291;1275;3;4000857.73943036
292;1278;3;4000857.73943036
293;1283;5;4000857.73943036
294;1287;4;4000857.73943036
295;1291;4;4000857.73943036
296;1296;5;4000857.73943036
297;1301;5;4000857.73943036
298;1307;6;4000857.73943036
299;1310;3;4000857.73943036
300;1316;6;4000857.73943036
301;1321;5;4000857.73943036
302;1325;4;4000857.73943036
303;1330;5;4000834.307604383
304;1331;1;4000834.307604383
305;1337;6;4000834.307604383
306;1343;6;4000834.307604383
307;1347;4;4000834.307604383
308;1351;4;4000834.307604383
309;1352;1;4000834.307604383
310;1356;4;4000834.307604383
311;1360;4;4000834.307604383
312;1364;4;4000834.307604383
313;1371;7;4000834.307604383
314;1376;5;4000834.307604383
315;1379;3;4000834.307604383
316;1383;4;4000834.307604383
317;1384;1;4000834.307604383
318;1384;0;4000834.307604383
319;1390;6;4000834.307604383
320;1396;6;4000834.307604383
321;1401;5;4000834.307604383
322;1407;6;4000834.307604383
323;1412;5;4000834.307604383
324;1416;4;4000834.307604383
325;1418;2;4000834.307604383
326;1420;2;4000834.307604383
327;1424;4;4000834.307604383
328;1426;2;4000834.307604383
329;1429;3;4000834.307604383
330;1431;2;4000834.307604383
331;1436;5;4000834.307604383
332;1444;8;4000834.307604383
333;1445;1;4000834.307604383
334;1449;4;4000834.307604383
335;1453;4;4000834.307604383
336;1454;1;4000834.307604383
337;1461;7;4000834.307604383
338;1470;9;4000834.307604383
339;1473;3;4000834.307604383
340;1474;1;4000834.307604383
341;1478;4;4000834.307604383
342;1483;5;4000834.307604383
343;1488;5;4000834.307604383
344;1494;6;4000834.307604383
345;1499;5;4000834.307604383
346;1501;2;4000834.307604383
347;1502;1;4000834.307604383
348;1507;5;4000834.307604383
349;1512;5;4000834.307604383
350;1512;0;4000834.307604383
351;1517;5;4000834.307604383
352;1519;2;4000834.307604383
353;1522;3;4000834.307604383
354;1527;5;4000834.307604383
355;1530;3;4000834.307604383
356;1534;4;4000834.307604383
357;1539;5;4000834.307604383
358;1545;6;4000834.307604383
359;1550;5;4000834.307604383
360;1555;5;4000834.307604383
361;1559;4;4000834.307604383
362;1565;6;4000834.307604383
363;1569;4;4000834.307604383
364;1573;4;4000834.307604383
365;1576;3;4000834.307604383
366;1577;1;4000834.307604383
367;1582;5;4000834.307604383
368;1583;1;4000834.307604383
369;1584;1;4000834.307604383
370;1586;2;4000834.307604383
371;1591;5;4000834.307604383
372;1595;4;4000834.307604383
373;1599;4;4000834.307604383
374;1604;5;4000834.307604383
375;1609;5;4000834.307604383
376;1613;4;4000834.307604383
377;1618;5;4000834.307604383
378;1624;6;4000834.307604383
379;1629;5;4000834.307604383
380;1632;3;4000834.307604383
381;1637;5;4000834.307604383
382;1641;4;4000834.307604383
383;1642;1;4000834.307604383
384;1646;4;4000834.307604383
385;1649;3;4000834.307604383
386;1650;1;4000834.307604383
387;1650;0;4000834.307604383
388;1654;4;4000834.307604383
389;1659;5;4000834.307604383
390;1660;1;4000834.307604383
391;1664;4;4000834.307604383
392;1669;5;4000834.307604383
393;1673;4;4000834.307604383
394;1679;6;4000834.307604383
395;1684;5;4000834.307604383
396;1689;5;4000834.307604383
397;1694;5;4000834.307604383
398;1699;5;4000834.307604383
399;1705;6;4000834.307604383
400;1712;7;4000834.307604383
401;1716;4;4000834.307604383
402;1717;1;4000834.307604383
403;1718;1;4000834.307604383
404;1720;2;4000834.307604383
405;1721;1;4000834.307604383
406;1723;2;4000834.307604383
407;1727;4;4000834.307604383
408;1732;5;4000834.307604383
409;1733;1;4000834.307604383
410;1738;5;4000834.307604383
411;1738;0;4000834.307604383
412;1746;8;4000834.307604383
413;1751;5;4000834.307604383
414;1752;1;4000834.307604383
415;1754;2;4000834.307604383
416;1759;5;4000834.307604383
417;1765;6;4000834.307604383
418;1765;0;4000834.307604383
419;1770;5;4000834.307604383
420;1771;1;4000834.307604383
421;1776;5;4000834.307604383
422;1779;3;4000834.307604383
423;1785;6;4000826.112636188
424;1788;3;4000812.152706164
425;1792;4;4000812.152706164
426;1799;7;4000812.152706164
427;1805;6;4000812.152706164
428;1809;4;4000812.152706164
429;1812;3;4000812.152706164
430;1816;4;4000812.152706164
431;1821;5;4000812.152706164
432;1826;5;4000812.152706164
433;1826;0;4000812.152706164
434;1827;1;4000812.152706164
435;1832;5;4000812.152706164
436;1836;4;4000812.152706164
437;1839;3;4000812.152706164
438;1844;5;4000812.152706164
439;1844;0;4000812.152706164
440;1847;3;4000812.152706164
441;1850;3;4000812.152706164
442;1856;6;4000812.152706164
443;1861;5;4000812.152706164
444;1865;4;4000812.152706164
445;1870;5;4000812.152706164
446;1870;0;4000812.152706164
447;1874;4;4000812.152706164
448;1875;1;4000812.152706164
449;1881;6;4000812.152706164
450;1888;7;4000812.152706164
451;1891;3;4000812.152706164
452;1892;1;4000812.152706164
453;1898;6;4000812.152706164
454;1903;5;4000812.152706164
455;1908;5;4000812.152706164
456;1915;7;4000812.152706164
457;1919;4;4000812.152706164
458;1919;0;4000812.152706164
459;1923;4;4000812.152706164
460;1925;2;4000812.152706164
461;1930;5;4000812.152706164
462;1934;4;4000812.152706164
463;1939;5;4000812.152706164
464;1942;3;4000812.152706164
465;1945;3;4000812.152706164
466;1946;1;4000812.152706164
467;1952;6;4000812.152706164
468;1957;5;4000812.152706164
469;1962;5;4000812.152706164
470;1967;5;4000812.152706164
471;1970;3;4000812.152706164
472;1971;1;4000812.152706164
473;1976;5;4000812.152706164
474;1976;0;4000812.152706164
475;1980;4;4000812.152706164
476;1985;5;4000812.152706164
477;1988;3;4000812.152706164
478;1997;9;4000812.152706164
479;2002;5;4000812.152706164
480;2006;4;4000812.152706164
481;2009;3;4000812.152706164
482;2014;5;4000812.152706164
483;2018;4;4000812.152706164
484;2022;4;4000812.152706164
485;2028;6;4000812.152706164
486;2029;1;4000812.152706164
487;2035;6;4000812.152706164
488;2036;1;4000812.152706164
489;2045;9;4000812.152706164
490;2050;5;4000812.152706164
491;2053;3;4000812.152706164
492;2058;5;4000812.152706164
493;2065;7;4000812.152706164
494;2071;6;4000812.152706164
495;2081;10;4000812.152706164
496;2089;8;4000812.152706164
497;2090;1;4000812.152706164
498;2097;7;4000812.152706164
499;2107;10;4000812.152706164
500;2115;8;4000812.152706164
501;2123;8;4000812.152706164
502;2126;3;4000812.152706164
503;2137;11;4000812.152706164
504;2143;6;4000812.152706164
505;2150;7;4000812.152706164
506;2158;8;4000812.152706164
507;2159;1;4000812.152706164
508;2168;9;4000812.152706164
509;2169;1;4000812.152706164
510;2177;8;4000812.152706164
511;2180;3;4000812.152706164
512;2186;6;4000812.152706164
513;2189;3;4000812.152706164
514;2192;3;4000812.152706164
515;2197;5;4000812.152706164
516;2198;1;4000812.152706164
517;2202;4;4000812.152706164
518;2205;3;4000812.152706164
519;2211;6;4000812.152706164
520;2215;4;4000812.152706164
521;2219;4;4000812.152706164
522;2222;3;4000812.152706164
523;2227;5;4000812.152706164
524;2233;6;4000812.152706164
525;2238;5;4000812.152706164
526;2247;9;4000812.152706164
527;2251;4;4000812.152706164
528;2256;5;4000812.152706164
529;2260;4;4000812.152706164
530;2266;6;4000812.152706164
531;2266;0;4000812.152706164
532;2275;9;4000812.152706164
533;2280;5;4000812.152706164
534;2282;2;4000812.152706164
535;2285;3;4000812.152706164
536;2291;6;4000812.152706164
537;2291;0;4000812.152706164
538;2295;4;4000812.152706164
539;2295;0;4000812.152706164
540;2300;5;4000812.152706164
541;2304;4;4000812.152706164
542;2308;4;4000812.152706164
543;2313;5;4000812.152706164
544;2317;4;4000812.152706164
545;2320;3;4000812.152706164
546;2326;6;4000812.152706164
547;2330;4;4000812.152706164
548;2334;4;4000812.152706164
549;2336;2;4000812.152706164
550;2341;5;4000812.152706164
551;2347;6;4000812.152706164
552;2353;6;4000812.152706164
553;2360;7;4000812.152706164
554;2365;5;4000812.152706164
555;2369;4;4000812.152706164
556;2374;5;4000812.152706164
557;2379;5;4000812.152706164
558;2383;4;4000812.152706164
559;2386;3;4000812.152706164
560;2393;7;4000812.152706164
561;2397;4;4000812.152706164
562;2404;7;4000812.152706164
563;2409;5;4000812.152706164
564;2410;1;4000812.152706164
565;2414;4;4000812.152706164
566;2418;4;4000812.152706164
567;2423;5;4000812.152706164
568;2427;4;4000812.152706164
569;2427;0;4000812.152706164
570;2431;4;4000812.152706164
571;2434;3;4000812.152706164
572;2443;9;4000812.152706164
573;2444;1;4000812.152706164
574;2449;5;4000812.152706164
575;2452;3;4000812.152706164
576;2453;1;4000812.152706164
577;2457;4;4000812.152706164
578;2464;7;4000812.152706164
579;2469;5;4000812.152706164
580;2473;4;4000812.152706164
581;2478;5;4000812.152706164
582;2480;2;4000812.152706164
583;2483;3;4000812.152706164
584;2488;5;4000812.152706164
585;2492;4;4000812.152706164
586;2496;4;4000812.152706164
587;2502;6;4000812.152706164
588;2503;1;4000812.152706164
589;2510;7;4000812.152706164
590;2517;7;4000812.152706164
591;2520;3;4000812.152706164
592;2523;3;4000812.152706164
593;2525;2;4000812.152706164
594;2528;3;4000812.152706164
595;2530;2;4000812.152706164
596;2534;4;4000812.152706164
597;2538;4;4000812.152706164
598;2540;2;4000812.152706164
599;2545;5;4000812.152706164
600;2550;5;4000812.152706164
601;2555;5;4000812.152706164
602;2561;6;4000812.152706164
603;2566;5;4000812.152706164
604;2566;0;4000812.152706164
605;2572;6;4000812.152706164
606;2580;8;4000812.152706164
607;2584;4;4000812.152706164
608;2588;4;4000812.152706164
