Index;Time point [ms];Iteration length [ms];Cost
0;11;11;3001458.8964507068
1;16;5;3001458.8964507068
2;22;6;3001447.7033242797
3;27;5;3001360.961795177
4;34;7;3001135.7679604674
5;40;6;3001135.7679604674
6;48;8;3001055.7015201245
7;52;4;3001042.1505591455
8;60;8;3000951.915891441
9;67;7;3000951.915891441
10;73;6;3000951.915891441
11;83;10;3000951.915891441
12;88;5;3000951.915891441
13;91;3;3000951.915891441
14;92;1;3000951.915891441
15;100;8;3000951.915891441
16;107;7;3000951.915891441
17;117;10;3000951.915891441
18;129;12;3000951.915891441
19;133;4;3000951.915891441
20;140;7;3000951.915891441
21;147;7;3000951.915891441
22;147;0;3000951.915891441
23;148;1;3000951.915891441
24;157;9;3000951.915891441
25;165;8;3000951.915891441
26;170;5;3000951.915891441
27;174;4;3000951.915891441
28;183;9;3000951.915891441
29;189;6;3000951.915891441
30;190;1;3000951.915891441
31;198;8;3000951.915891441
32;207;9;3000951.915891441
33;213;6;3000951.915891441
34;218;5;3000951.915891441
35;221;3;3000951.915891441
36;229;8;3000951.915891441
37;236;7;3000951.915891441
38;241;5;3000951.915891441
39;250;9;3000951.915891441
40;256;6;3000951.915891441
41;263;7;3000951.915891441
42;271;8;3000951.915891441
43;277;6;3000951.915891441
44;285;8;3000951.915891441
45;290;5;3000951.915891441
46;291;1;3000951.915891441
47;292;1;3000951.915891441
48;292;0;3000951.915891441
49;299;7;3000951.915891441
50;305;6;3000892.3120305045
51;310;5;3000886.112466717
52;316;6;3000886.112466717
53;327;11;3000886.112466717
54;335;8;3000850.485421598
55;344;9;3000850.485421598
56;353;9;3000850.485421598
57;363;10;3000850.485421598
58;370;7;3000850.485421598
59;378;8;3000850.485421598
60;388;10;3000850.485421598
61;396;8;3000850.485421598
62;408;12;3000850.485421598
63;409;1;3000850.485421598
64;418;9;3000850.485421598
65;430;12;3000850.485421598
66;444;14;3000850.485421598
67;457;13;3000850.485421598
68;471;14;3000850.485421598
69;496;25;3000850.485421598
70;509;13;3000850.485421598
71;520;11;3000850.485421598
72;529;9;3000850.485421598
73;536;7;3000850.485421598
74;541;5;3000850.485421598
75;542;1;3000850.485421598
76;552;10;3000850.485421598
77;562;10;3000850.485421598
78;569;7;3000850.485421598
79;577;8;3000850.485421598
80;585;8;3000850.485421598
81;591;6;3000850.485421598
82;605;14;3000850.485421598
