Index;Time point [ms];Iteration length [ms];Cost
0;9;9;2.100197187441157E7
1;12;3;2.0002015896808993E7
2;15;3;2.000197128349328E7
3;28;13;2.0001906811276197E7
4;29;1;2.0001906811276197E7
5;34;5;2.0001906811276197E7
6;36;2;2.0001904953191925E7
7;40;4;2.0001882425590474E7
8;44;4;2.0001882425590474E7
9;45;1;2.0001882425590474E7
10;49;4;2.0001882425590474E7
11;52;3;2.0001882425590474E7
12;55;3;2.0001882425590474E7
13;58;3;1.900173637719949E7
14;62;4;1.900173637719949E7
15;64;2;1.900173637719949E7
16;68;4;1.900173637719949E7
17;71;3;1.900173637719949E7
18;73;2;1.900173637719949E7
19;76;3;1.9001708406347428E7
20;79;3;1.9001708406347428E7
21;82;3;1.9001708406347428E7
22;85;3;1.9001708406347428E7
23;87;2;1.9001708406347428E7
24;89;2;1.9001708406347428E7
25;91;2;1.9001708406347428E7
26;94;3;1.9001708406347428E7
27;98;4;1.9001708406347428E7
28;101;3;1.9001708406347428E7
29;104;3;1.9001708406347428E7
30;105;1;1.9001708406347428E7
31;107;2;1.9001708406347428E7
32;110;3;1.9001708406347428E7
33;112;2;1.9001708406347428E7
34;114;2;1.9001708406347428E7
35;119;5;1.9001708406347428E7
36;122;3;1.9001708406347428E7
37;128;6;1.9001708406347428E7
38;132;4;1.9001708406347428E7
39;135;3;1.9001708406347428E7
40;138;3;1.9001708406347428E7
41;140;2;1.9001708406347428E7
42;144;4;1.9001708406347428E7
43;146;2;1.9001708406347428E7
44;149;3;1.9001708406347428E7
45;149;0;1.9001708406347428E7
46;151;2;1.9001708406347428E7
47;155;4;1.9001708406347428E7
48;158;3;1.9001708406347428E7
49;159;1;1.9001708406347428E7
50;162;3;1.9001708406347428E7
51;164;2;1.9001708406347428E7
52;166;2;1.9001708406347428E7
53;169;3;1.9001708406347428E7
54;172;3;1.9001708406347428E7
55;172;0;1.9001708406347428E7
56;174;2;1.9001708406347428E7
57;175;1;1.9001708406347428E7
58;178;3;1.9001708406347428E7
59;181;3;1.9001708406347428E7
60;184;3;1.9001708406347428E7
61;184;0;1.9001708406347428E7
62;187;3;1.9001708406347428E7
63;190;3;1.9001708406347428E7
64;193;3;1.9001708406347428E7
65;194;1;1.9001708406347428E7
66;201;7;1.9001708406347428E7
67;206;5;1.9001708406347428E7
68;211;5;1.9001708406347428E7
69;216;5;1.9001708406347428E7
70;220;4;1.9001708406347428E7
71;221;1;1.9001708406347428E7
72;226;5;1.9001708406347428E7
73;226;0;1.9001708406347428E7
74;229;3;1.9001708406347428E7
75;231;2;1.9001708406347428E7
76;235;4;1.9001708406347428E7
77;239;4;1.9001708406347428E7
78;241;2;1.9001708406347428E7
79;244;3;1.9001708406347428E7
80;247;3;1.9001708406347428E7
81;250;3;1.9001708406347428E7
82;252;2;1.9001708406347428E7
83;255;3;1.9001645318221524E7
84;256;1;1.9001645318221524E7
85;258;2;1.9001642962512694E7
86;261;3;1.900163971418591E7
87;264;3;1.900163971418591E7
88;268;4;1.900163971418591E7
89;270;2;1.900163971418591E7
90;272;2;1.900163971418591E7
91;275;3;1.900163971418591E7
92;278;3;1.900163971418591E7
93;280;2;1.900163971418591E7
94;282;2;1.900163971418591E7
95;286;4;1.900163971418591E7
96;288;2;1.900163971418591E7
97;290;2;1.900163971418591E7
98;292;2;1.900163971418591E7
99;296;4;1.900163971418591E7
100;297;1;1.900163971418591E7
101;301;4;1.900163971418591E7
102;303;2;1.900163971418591E7
103;307;4;1.900163971418591E7
104;310;3;1.900163971418591E7
105;312;2;1.900163971418591E7
106;314;2;1.900163971418591E7
107;318;4;1.900163971418591E7
108;322;4;1.900163971418591E7
109;325;3;1.900163971418591E7
110;328;3;1.900163971418591E7
111;332;4;1.900163971418591E7
112;334;2;1.900163971418591E7
113;336;2;1.900163971418591E7
114;340;4;1.900163971418591E7
115;343;3;1.900163971418591E7
116;346;3;1.900163971418591E7
117;347;1;1.900163971418591E7
118;349;2;1.900163971418591E7
119;350;1;1.900163971418591E7
120;354;4;1.900163971418591E7
121;356;2;1.900163971418591E7
122;357;1;1.900163971418591E7
123;359;2;1.900163971418591E7
124;361;2;1.900163971418591E7
125;363;2;1.900163971418591E7
126;367;4;1.900163971418591E7
127;370;3;1.900163971418591E7
128;372;2;1.900163971418591E7
129;373;1;1.900163971418591E7
130;378;5;1.900163971418591E7
131;382;4;1.900163971418591E7
132;383;1;1.900163971418591E7
133;387;4;1.900163971418591E7
134;390;3;1.900163971418591E7
135;392;2;1.900163971418591E7
136;392;0;1.900163971418591E7
137;394;2;1.900163971418591E7
138;397;3;1.900163971418591E7
139;399;2;1.900163971418591E7
140;402;3;1.900163971418591E7
141;403;1;1.900163971418591E7
142;405;2;1.900163971418591E7
143;408;3;1.900163971418591E7
144;411;3;1.900163971418591E7
145;413;2;1.900163971418591E7
146;416;3;1.900163971418591E7
147;419;3;1.900163971418591E7
148;421;2;1.900163971418591E7
149;423;2;1.900163971418591E7
150;425;2;1.900163971418591E7
151;428;3;1.900163971418591E7
152;429;1;1.900163971418591E7
153;431;2;1.900163971418591E7
154;433;2;1.900163971418591E7
155;434;1;1.900163971418591E7
156;438;4;1.900163971418591E7
157;441;3;1.900163971418591E7
158;445;4;1.900163971418591E7
159;448;3;1.900163971418591E7
160;449;1;1.900163971418591E7
161;450;1;1.900163971418591E7
162;454;4;1.900163971418591E7
163;458;4;1.900163971418591E7
164;460;2;1.900163971418591E7
165;463;3;1.900163971418591E7
166;463;0;1.900163971418591E7
167;465;2;1.900163971418591E7
168;466;1;1.900163971418591E7
169;470;4;1.900163971418591E7
170;473;3;1.900163971418591E7
171;475;2;1.900163971418591E7
172;481;6;1.900163971418591E7
173;484;3;1.900163971418591E7
174;485;1;1.900163971418591E7
175;487;2;1.900163971418591E7
176;490;3;1.900163971418591E7
177;493;3;1.900163971418591E7
178;495;2;1.900163971418591E7
179;495;0;1.900163971418591E7
180;497;2;1.900163971418591E7
181;499;2;1.900163971418591E7
182;503;4;1.900163971418591E7
183;506;3;1.900163971418591E7
184;507;1;1.900163971418591E7
185;510;3;1.900163971418591E7
186;512;2;1.900163971418591E7
187;515;3;1.900163971418591E7
188;517;2;1.900163971418591E7
189;518;1;1.900163971418591E7
190;518;0;1.900163971418591E7
191;521;3;1.900163971418591E7
192;524;3;1.900163971418591E7
193;526;2;1.900163971418591E7
194;529;3;1.900163971418591E7
195;530;1;1.900163971418591E7
196;534;4;1.900163971418591E7
197;535;1;1.900163971418591E7
198;539;4;1.900163971418591E7
199;544;5;1.900163971418591E7
200;546;2;1.900163971418591E7
201;549;3;1.900163971418591E7
202;551;2;1.900163971418591E7
203;554;3;1.900163971418591E7
204;558;4;1.900163971418591E7
205;558;0;1.900163971418591E7
206;561;3;1.900163971418591E7
207;565;4;1.900163971418591E7
208;567;2;1.900163971418591E7
209;569;2;1.900163971418591E7
210;571;2;1.900163971418591E7
211;571;0;1.900163971418591E7
212;572;1;1.900163971418591E7
213;574;2;1.900163971418591E7
214;575;1;1.900163971418591E7
215;578;3;1.900163971418591E7
216;580;2;1.900163971418591E7
217;583;3;1.900163971418591E7
218;587;4;1.900163971418591E7
219;590;3;1.900163971418591E7
220;592;2;1.900163971418591E7
221;595;3;1.900163971418591E7
222;597;2;1.900163971418591E7
223;599;2;1.900163971418591E7
224;600;1;1.900163971418591E7
225;600;0;1.900163971418591E7
226;603;3;1.900163971418591E7
227;606;3;1.900163971418591E7
228;607;1;1.900163971418591E7
229;610;3;1.900163971418591E7
230;614;4;1.900163971418591E7
231;614;0;1.900163971418591E7
232;618;4;1.900163971418591E7
233;621;3;1.900163971418591E7
234;622;1;1.900163971418591E7
235;626;4;1.900163971418591E7
236;627;1;1.900163971418591E7
237;631;4;1.900163971418591E7
238;634;3;1.900163971418591E7
239;635;1;1.900163971418591E7
240;638;3;1.900163971418591E7
241;640;2;1.900163971418591E7
242;644;4;1.900163971418591E7
243;645;1;1.900163971418591E7
244;646;1;1.900163971418591E7
245;648;2;1.900163971418591E7
246;651;3;1.900163971418591E7
247;652;1;1.900163971418591E7
248;654;2;1.900163971418591E7
249;657;3;1.900163971418591E7
250;661;4;1.900163971418591E7
251;661;0;1.900163971418591E7
252;662;1;1.900163971418591E7
253;666;4;1.900163971418591E7
254;669;3;1.900163971418591E7
255;672;3;1.900163971418591E7
256;674;2;1.900163971418591E7
257;677;3;1.900163971418591E7
258;679;2;1.900163971418591E7
259;679;0;1.900163971418591E7
260;682;3;1.900163971418591E7
261;685;3;1.900163971418591E7
262;688;3;1.900163971418591E7
263;688;0;1.900163971418591E7
264;691;3;1.900163971418591E7
265;695;4;1.900163971418591E7
266;698;3;1.900163971418591E7
267;699;1;1.900163971418591E7
268;702;3;1.900163971418591E7
269;703;1;1.900163971418591E7
270;706;3;1.900163971418591E7
271;709;3;1.900163971418591E7
272;711;2;1.900163971418591E7
273;711;0;1.900163971418591E7
274;714;3;1.900163971418591E7
275;714;0;1.900163971418591E7
276;716;2;1.900163971418591E7
277;717;1;1.900163971418591E7
278;718;1;1.900163971418591E7
279;721;3;1.900163971418591E7
280;723;2;1.900163971418591E7
281;724;1;1.900163971418591E7
282;726;2;1.900163971418591E7
283;729;3;1.900163971418591E7
284;730;1;1.900163971418591E7
285;732;2;1.900163971418591E7
286;735;3;1.900163971418591E7
287;737;2;1.900163971418591E7
288;741;4;1.900163971418591E7
289;744;3;1.900163971418591E7
290;747;3;1.900163971418591E7
291;750;3;1.900163971418591E7
292;753;3;1.900163971418591E7
293;755;2;1.900163971418591E7
294;758;3;1.900163971418591E7
295;762;4;1.900163971418591E7
296;763;1;1.900163971418591E7
297;766;3;1.900163971418591E7
298;769;3;1.900163971418591E7
299;771;2;1.900163971418591E7
