Index;Time point [ms];Iteration length [ms];Cost
0;14;14;4001818.7793740034
1;21;7;4001529.9080006457
2;26;5;4001345.5268096714
3;33;7;3001346.131322911
4;36;3;3001346.131322911
5;38;2;3001346.131322911
6;39;1;3001346.131322911
7;45;6;3001199.266785115
8;51;6;3001165.9213698097
9;57;6;3001165.9213698097
10;61;4;3001165.9213698097
11;67;6;3001165.9213698097
12;74;7;3001165.9213698097
13;79;5;3001165.9213698097
14;86;7;3001165.9213698097
15;89;3;3001165.9213698097
16;94;5;3001165.9213698097
17;102;8;3001165.9213698097
18;113;11;3001165.9213698097
19;120;7;3001130.1615537973
20;123;3;3001130.1615537973
21;126;3;3001130.1615537973
22;133;7;3001130.1615537973
23;137;4;3001130.1615537973
24;138;1;3001130.1615537973
25;144;6;3001097.697791077
26;149;5;3001097.697791077
27;154;5;3001097.697791077
28;160;6;3001097.697791077
29;167;7;3001097.697791077
30;172;5;3001097.697791077
31;179;7;3001097.697791077
32;184;5;3001097.697791077
33;190;6;3001097.697791077
34;197;7;3001097.697791077
35;200;3;3001097.697791077
36;211;11;3001097.697791077
37;219;8;3001097.697791077
38;224;5;3001097.697791077
39;231;7;3001097.697791077
40;238;7;3001097.697791077
41;241;3;3001097.697791077
42;248;7;3001097.697791077
43;255;7;3001097.697791077
44;258;3;3001097.697791077
45;263;5;3001097.697791077
46;267;4;3001097.697791077
47;272;5;3001097.697791077
48;279;7;3001097.697791077
49;285;6;3001097.697791077
50;290;5;3001097.697791077
51;297;7;3001097.697791077
52;309;12;3001097.697791077
53;315;6;3001097.697791077
54;319;4;3001097.697791077
55;325;6;3001097.697791077
56;328;3;3001097.697791077
57;333;5;3001097.697791077
58;341;8;3001097.697791077
59;347;6;3001097.697791077
60;353;6;3001097.697791077
61;357;4;3001097.697791077
62;366;9;3001097.697791077
63;366;0;3001097.697791077
64;372;6;3001097.697791077
65;380;8;3001097.697791077
66;384;4;3001097.697791077
67;388;4;3001097.697791077
68;391;3;3001097.697791077
69;395;4;3001097.697791077
70;399;4;3001097.697791077
71;406;7;3001097.697791077
72;411;5;3001097.697791077
73;416;5;3001097.697791077
74;417;1;3001097.697791077
75;423;6;3001097.697791077
76;424;1;3001097.697791077
77;428;4;3001097.697791077
78;435;7;3001097.697791077
79;445;10;3001097.697791077
80;450;5;3001097.697791077
81;455;5;3001097.697791077
82;462;7;3001097.697791077
83;469;7;3001097.697791077
84;476;7;3001097.697791077
85;481;5;3001097.697791077
86;485;4;3001097.697791077
87;491;6;3001097.697791077
88;497;6;3001097.697791077
89;504;7;3001097.697791077
90;511;7;3001097.697791077
91;516;5;3001097.697791077
92;520;4;3001097.697791077
93;522;2;3001097.697791077
94;527;5;3001097.697791077
95;530;3;3001097.697791077
96;533;3;3001097.697791077
97;541;8;3001097.697791077
98;546;5;3001097.697791077
99;547;1;3001097.697791077
100;555;8;3001097.697791077
101;563;8;3001097.697791077
102;570;7;3001097.697791077
103;577;7;3001097.697791077
104;582;5;3001097.697791077
105;586;4;3001097.697791077
106;586;0;3001097.697791077
107;591;5;3001097.697791077
108;591;0;3001097.697791077
109;592;1;3001097.697791077
110;597;5;3001097.697791077
111;600;3;3001097.697791077
112;605;5;3001097.697791077
