Index;Time point [ms];Iteration length [ms];Cost
0;8;8;1.800296685724854E7
1;9;1;1.800296685724854E7
2;11;2;1.8002796666154243E7
3;12;1;1.8002770194870576E7
4;16;4;1.8002770194870576E7
5;20;4;1.8002770194870576E7
6;23;3;1.8002770194870576E7
7;25;2;1.7002565397847965E7
8;29;4;1.7002565397847965E7
9;35;6;1.7002565397847965E7
10;43;8;1.7002565397847965E7
11;47;4;1.7002565397847965E7
12;56;9;1.7002565397847965E7
13;57;1;1.7002565397847965E7
14;61;4;1.7002565397847965E7
15;63;2;1.7002480210519295E7
16;65;2;1.7002381221599527E7
17;66;1;1.7002381221599527E7
18;72;6;1.6002156452335479E7
19;76;4;1.5002176587186867E7
20;80;4;1.5001911257630844E7
21;81;1;1.5001754168367548E7
22;82;1;1.5001726775255946E7
23;86;4;1.5001726775255946E7
24;89;3;1.5001726775255946E7
25;91;2;1.5001726775255946E7
26;95;4;1.5001726775255946E7
27;98;3;1.5001726775255946E7
28;105;7;1.5001726775255946E7
29;109;4;1.5001726775255946E7
30;111;2;1.5001726775255946E7
31;115;4;1.5001558112173796E7
32;119;4;1.5001549465529062E7
33;121;2;1.5001535849615244E7
34;125;4;1.5001535849615244E7
35;126;1;1.3001615747610934E7
36;131;5;1.3001615747610934E7
37;134;3;1.3001615747610934E7
38;137;3;1.3001615747610934E7
39;141;4;1.3001615747610934E7
40;144;3;1.3001615747610934E7
41;147;3;1.3001615747610934E7
42;150;3;1.3001615747610934E7
43;155;5;1.3001615747610934E7
44;156;1;1.3001615747610934E7
45;158;2;1.3001615747610934E7
46;160;2;1.3001615747610934E7
47;163;3;1.3001615747610934E7
48;165;2;1.3001615747610934E7
49;170;5;1.3001615747610934E7
50;172;2;1.3001615747610934E7
51;175;3;1.3001615747610934E7
52;177;2;1.3001615747610934E7
53;181;4;1.3001615747610934E7
54;186;5;1.3001615747610934E7
55;189;3;1.3001615747610934E7
56;191;2;1.3001615747610934E7
57;194;3;1.3001615747610934E7
58;197;3;1.3001615747610934E7
59;204;7;1.3001615747610934E7
60;208;4;1.3001615747610934E7
61;211;3;1.3001615747610934E7
62;214;3;1.3001615747610934E7
63;219;5;1.3001615747610934E7
64;220;1;1.3001615747610934E7
65;222;2;1.3001615747610934E7
66;222;0;1.3001615747610934E7
67;224;2;1.3001615747610934E7
68;227;3;1.3001615747610934E7
69;228;1;1.3001615747610934E7
70;232;4;1.3001615747610934E7
71;236;4;1.3001615747610934E7
72;239;3;1.3001615747610934E7
73;242;3;1.3001615747610934E7
74;247;5;1.3001615747610934E7
75;248;1;1.3001615747610934E7
76;256;8;1.3001615747610934E7
77;260;4;1.3001615747610934E7
78;263;3;1.3001615747610934E7
79;263;0;1.3001615747610934E7
80;267;4;1.3001615747610934E7
81;273;6;1.3001615747610934E7
82;275;2;1.3001615747610934E7
83;277;2;1.3001615747610934E7
84;279;2;1.3001615747610934E7
85;282;3;1.3001615747610934E7
86;288;6;1.3001615747610934E7
87;290;2;1.3001615747610934E7
88;295;5;1.3001615747610934E7
89;298;3;1.3001615747610934E7
90;302;4;1.3001615747610934E7
91;307;5;1.3001615747610934E7
92;312;5;1.3001615747610934E7
93;315;3;1.3001615747610934E7
94;316;1;1.3001615747610934E7
95;321;5;1.3001615747610934E7
96;325;4;1.3001615747610934E7
97;330;5;1.3001615747610934E7
98;337;7;1.3001615747610934E7
99;341;4;1.3001615747610934E7
100;343;2;1.3001615747610934E7
101;348;5;1.3001615747610934E7
102;353;5;1.3001615747610934E7
103;356;3;1.3001615747610934E7
104;359;3;1.3001615747610934E7
105;361;2;1.3001615747610934E7
106;361;0;1.3001615747610934E7
107;364;3;1.3001615747610934E7
108;369;5;1.3001615747610934E7
109;373;4;1.3001615747610934E7
110;376;3;1.3001615747610934E7
111;380;4;1.3001615747610934E7
112;381;1;1.3001615747610934E7
113;385;4;1.3001615747610934E7
114;390;5;1.3001615747610934E7
115;395;5;1.3001615747610934E7
116;400;5;1.3001615747610934E7
117;405;5;1.3001615747610934E7
118;406;1;1.3001615747610934E7
119;412;6;1.3001615747610934E7
120;418;6;1.3001615747610934E7
121;425;7;1.3001615747610934E7
122;429;4;1.3001615747610934E7
123;433;4;1.3001615747610934E7
124;437;4;1.3001615747610934E7
125;439;2;1.3001615747610934E7
126;440;1;1.3001615747610934E7
127;441;1;1.3001615747610934E7
128;443;2;1.3001615747610934E7
129;447;4;1.3001615747610934E7
130;453;6;1.3001615747610934E7
131;457;4;1.3001615747610934E7
132;461;4;1.3001615747610934E7
133;463;2;1.3001615747610934E7
134;467;4;1.3001615747610934E7
135;473;6;1.3001615747610934E7
136;480;7;1.3001615747610934E7
137;487;7;1.3001615747610934E7
138;488;1;1.3001615747610934E7
139;492;4;1.3001615747610934E7
140;497;5;1.3001615747610934E7
141;505;8;1.3001615747610934E7
142;510;5;1.3001615747610934E7
143;511;1;1.3001615747610934E7
144;520;9;1.3001615747610934E7
145;526;6;1.3001615747610934E7
146;527;1;1.3001615747610934E7
147;531;4;1.3001615747610934E7
148;539;8;1.3001615747610934E7
149;544;5;1.3001615747610934E7
150;547;3;1.3001615747610934E7
151;552;5;1.3001615747610934E7
152;558;6;1.3001615747610934E7
153;559;1;1.3001615747610934E7
154;562;3;1.3001615747610934E7
155;563;1;1.3001615747610934E7
156;567;4;1.3001615747610934E7
157;573;6;1.3001615747610934E7
158;577;4;1.3001615747610934E7
159;580;3;1.3001615747610934E7
160;583;3;1.3001615747610934E7
161;584;1;1.3001615747610934E7
162;588;4;1.3001615747610934E7
163;589;1;1.3001615747610934E7
164;592;3;1.3001615747610934E7
165;593;1;1.3001615747610934E7
166;594;1;1.3001615747610934E7
167;597;3;1.3001615747610934E7
168;600;3;1.3001615747610934E7
169;604;4;1.3001615747610934E7
170;606;2;1.3001615747610934E7
171;607;1;1.3001615747610934E7
172;609;2;1.3001615747610934E7
173;612;3;1.3001615747610934E7
174;614;2;1.3001615747610934E7
175;619;5;1.3001615747610934E7
176;622;3;1.3001615747610934E7
177;622;0;1.3001615747610934E7
178;625;3;1.3001615747610934E7
179;628;3;1.3001615747610934E7
180;630;2;1.3001615747610934E7
181;631;1;1.3001615747610934E7
182;636;5;1.3001615747610934E7
183;639;3;1.3001615747610934E7
184;640;1;1.3001615747610934E7
185;642;2;1.3001615747610934E7
186;645;3;1.3001615747610934E7
187;649;4;1.3001615747610934E7
188;654;5;1.3001615747610934E7
189;657;3;1.3001615747610934E7
190;659;2;1.3001615747610934E7
191;660;1;1.3001615747610934E7
192;661;1;1.3001615747610934E7
193;663;2;1.3001615747610934E7
194;667;4;1.3001615747610934E7
195;670;3;1.3001615747610934E7
196;673;3;1.3001615747610934E7
197;677;4;1.3001615747610934E7
198;681;4;1.3001615747610934E7
199;684;3;1.3001615747610934E7
200;686;2;1.3001615747610934E7
201;690;4;1.3001615747610934E7
202;693;3;1.3001615747610934E7
203;695;2;1.3001615747610934E7
204;696;1;1.3001615747610934E7
205;696;0;1.3001615747610934E7
206;699;3;1.3001615747610934E7
207;706;7;1.3001615747610934E7
208;710;4;1.3001615747610934E7
209;713;3;1.3001615747610934E7
210;716;3;1.3001615747610934E7
211;719;3;1.3001615747610934E7
212;725;6;1.3001615747610934E7
213;730;5;1.3001615747610934E7
214;738;8;1.3001615747610934E7
215;743;5;1.3001615747610934E7
216;744;1;1.3001615747610934E7
217;751;7;1.3001615747610934E7
218;757;6;1.3001615747610934E7
219;761;4;1.3001615747610934E7
220;767;6;1.3001615747610934E7
221;774;7;1.3001615747610934E7
222;778;4;1.3001615747610934E7
223;779;1;1.3001615747610934E7
224;781;2;1.3001615747610934E7
225;788;7;1.3001615747610934E7
226;792;4;1.3001615747610934E7
227;795;3;1.3001615747610934E7
228;800;5;1.3001615747610934E7
229;806;6;1.3001615747610934E7
230;811;5;1.3001615747610934E7
231;814;3;1.3001615747610934E7
232;819;5;1.3001615747610934E7
233;824;5;1.3001615747610934E7
234;827;3;1.3001615747610934E7
235;830;3;1.3001615747610934E7
236;837;7;1.3001615747610934E7
237;842;5;1.3001615747610934E7
238;849;7;1.3001615747610934E7
239;856;7;1.3001615747610934E7
240;862;6;1.3001615747610934E7
241;866;4;1.3001615747610934E7
242;872;6;1.3001615747610934E7
243;878;6;1.3001615747610934E7
244;879;1;1.3001615747610934E7
245;888;9;1.3001615747610934E7
246;895;7;1.3001615747610934E7
247;896;1;1.3001615747610934E7
248;903;7;1.3001615747610934E7
249;907;4;1.3001615747610934E7
250;911;4;1.3001615747610934E7
251;914;3;1.3001615747610934E7
252;917;3;1.3001615747610934E7
253;922;5;1.3001615747610934E7
254;925;3;1.3001615747610934E7
255;929;4;1.3001615747610934E7
256;931;2;1.3001615747610934E7
257;934;3;1.3001615747610934E7
258;938;4;1.3001615747610934E7
259;940;2;1.3001615747610934E7
260;943;3;1.3001615747610934E7
261;946;3;1.3001615747610934E7
262;949;3;1.3001615747610934E7
263;955;6;1.3001615747610934E7
264;960;5;1.3001615747610934E7
265;963;3;1.3001615747610934E7
266;966;3;1.3001615747610934E7
267;970;4;1.3001615747610934E7
268;973;3;1.3001615747610934E7
269;977;4;1.3001615747610934E7
270;978;1;1.3001615747610934E7
271;981;3;1.3001615747610934E7
272;982;1;1.3001615747610934E7
273;989;7;1.3001615747610934E7
274;994;5;1.3001615747610934E7
275;998;4;1.3001615747610934E7
276;1001;3;1.3001615747610934E7
277;1006;5;1.3001615747610934E7
278;1011;5;1.3001615747610934E7
279;1015;4;1.3001615747610934E7
280;1019;4;1.3001615747610934E7
281;1024;5;1.3001615747610934E7
282;1031;7;1.3001615747610934E7
283;1035;4;1.3001615747610934E7
284;1039;4;1.3001615747610934E7
285;1046;7;1.3001615747610934E7
286;1050;4;1.3001615747610934E7
287;1055;5;1.3001615747610934E7
288;1059;4;1.3001615747610934E7
289;1061;2;1.3001615747610934E7
290;1063;2;1.3001615747610934E7
291;1066;3;1.3001615747610934E7
292;1070;4;1.3001615747610934E7
293;1074;4;1.3001615747610934E7
294;1075;1;1.3001615747610934E7
295;1079;4;1.3001615747610934E7
296;1083;4;1.3001615747610934E7
297;1084;1;1.3001615747610934E7
298;1088;4;1.3001615747610934E7
299;1091;3;1.3001615747610934E7
300;1095;4;1.3001615747610934E7
301;1100;5;1.3001615747610934E7
302;1104;4;1.3001615747610934E7
303;1108;4;1.3001615747610934E7
304;1112;4;1.3001615747610934E7
305;1112;0;1.3001615747610934E7
306;1116;4;1.3001615747610934E7
307;1120;4;1.3001615747610934E7
308;1121;1;1.3001615747610934E7
309;1124;3;1.3001615747610934E7
310;1128;4;1.3001615747610934E7
311;1130;2;1.3001615747610934E7
312;1132;2;1.3001615747610934E7
313;1136;4;1.3001615747610934E7
314;1139;3;1.3001615747610934E7
315;1144;5;1.3001615747610934E7
316;1146;2;1.3001615747610934E7
317;1149;3;1.3001615747610934E7
318;1153;4;1.3001615747610934E7
319;1153;0;1.3001615747610934E7
320;1156;3;1.3001615747610934E7
321;1160;4;1.3001615747610934E7
322;1163;3;1.3001615747610934E7
323;1166;3;1.3001615747610934E7
324;1171;5;1.3001615747610934E7
325;1174;3;1.3001615747610934E7
326;1178;4;1.3001615747610934E7
327;1181;3;1.3001615747610934E7
328;1184;3;1.3001615747610934E7
329;1188;4;1.3001615747610934E7
330;1191;3;1.3001615747610934E7
331;1196;5;1.3001615747610934E7
332;1199;3;1.3001615747610934E7
333;1202;3;1.3001615747610934E7
334;1205;3;1.3001615747610934E7
335;1210;5;1.3001615747610934E7
336;1213;3;1.3001615747610934E7
337;1216;3;1.3001615747610934E7
338;1219;3;1.3001615747610934E7
339;1220;1;1.3001615747610934E7
340;1221;1;1.3001615747610934E7
341;1227;6;1.3001615747610934E7
342;1230;3;1.3001615747610934E7
343;1233;3;1.3001615747610934E7
344;1236;3;1.3001615747610934E7
345;1238;2;1.3001615747610934E7
346;1238;0;1.3001615747610934E7
347;1243;5;1.3001615747610934E7
348;1246;3;1.3001615747610934E7
349;1247;1;1.3001615747610934E7
350;1249;2;1.3001615747610934E7
351;1252;3;1.3001615747610934E7
352;1253;1;1.3001615747610934E7
353;1255;2;1.3001615747610934E7
354;1256;1;1.3001615747610934E7
355;1261;5;1.3001615747610934E7
356;1262;1;1.3001615747610934E7
357;1265;3;1.3001615747610934E7
358;1268;3;1.3001615747610934E7
359;1269;1;1.3001615747610934E7
360;1271;2;1.3001615747610934E7
361;1276;5;1.3001615747610934E7
362;1278;2;1.3001615747610934E7
363;1281;3;1.3001615747610934E7
364;1285;4;1.3001615747610934E7
365;1287;2;1.3001615747610934E7
366;1290;3;1.3001615747610934E7
367;1293;3;1.3001615747610934E7
368;1296;3;1.3001615747610934E7
369;1299;3;1.3001615747610934E7
370;1301;2;1.3001615747610934E7
371;1303;2;1.3001615747610934E7
372;1305;2;1.3001615747610934E7
373;1305;0;1.3001615747610934E7
374;1310;5;1.3001615747610934E7
375;1312;2;1.3001615747610934E7
376;1316;4;1.3001615747610934E7
377;1318;2;1.3001615747610934E7
378;1320;2;1.3001615747610934E7
379;1321;1;1.3001615747610934E7
380;1322;1;1.3001615747610934E7
381;1327;5;1.3001615747610934E7
382;1330;3;1.3001615747610934E7
383;1332;2;1.3001615747610934E7
384;1337;5;1.3001615747610934E7
385;1339;2;1.3001615747610934E7
386;1343;4;1.3001615747610934E7
387;1346;3;1.3001615747610934E7
388;1348;2;1.3001615747610934E7
389;1349;1;1.3001615747610934E7
390;1353;4;1.3001615747610934E7
391;1355;2;1.3001615747610934E7
392;1358;3;1.3001615747610934E7
393;1359;1;1.3001615747610934E7
394;1361;2;1.3001615747610934E7
395;1363;2;1.3001615747610934E7
396;1363;0;1.3001615747610934E7
397;1366;3;1.3001615747610934E7
398;1370;4;1.3001615747610934E7
399;1375;5;1.3001615747610934E7
400;1376;1;1.3001615747610934E7
401;1380;4;1.3001615747610934E7
402;1383;3;1.3001615747610934E7
403;1387;4;1.3001615747610934E7
404;1391;4;1.3001615747610934E7
405;1394;3;1.3001615747610934E7
406;1398;4;1.3001615747610934E7
407;1402;4;1.3001615747610934E7
408;1404;2;1.3001615747610934E7
409;1409;5;1.3001615747610934E7
410;1410;1;1.3001615747610934E7
411;1414;4;1.3001615747610934E7
412;1417;3;1.3001615747610934E7
413;1422;5;1.3001615747610934E7
414;1427;5;1.3001615747610934E7
415;1429;2;1.3001615747610934E7
416;1430;1;1.3001615747610934E7
417;1430;0;1.3001615747610934E7
418;1433;3;1.3001615747610934E7
419;1435;2;1.3001615747610934E7
420;1436;1;1.3001615747610934E7
421;1440;4;1.3001615747610934E7
422;1440;0;1.3001615747610934E7
